Name,year,age,event,category1,category2,Occupation,Career/Personal Life
Alexander Fleming,1918,37,"In 1918 Alexander Fleming returned to St Mary's Hospital, where Alexander Fleming was elected Professor of Bacteriology of the University of London in 1928.",Early life and education,,Academics,Personal Life
Alexander Fleming,1951,70,In 1951 Alexander Fleming was elected the Rector of the University of Edinburgh for a term of three years.,Early life and education,,Academics,Personal Life
Alexander Fleming,1945,64,"In Alexander Fleming's Nobel lecture on 11 December 1945, Alexander Fleming briefly mentioned lysozyme, saying, ""Penicillin was not the first antibiotic Alexander Fleming happened to discover.""",Scientific contributions,Discovery of lysozyme,Academics,Career
Alexander Fleming,1928,47,Alexander Fleming gave some of Alexander Fleming's original penicillin samples to his colleague-surgeon Arthur Dickson Wright for clinical test in 1928.,Scientific contributions,Discovery of penicillin,Academics,Career
Alexander Fleming,1921,40,"From 1921 until Alexander Fleming's death in 1955, Alexander Fleming owned a country home named ""The Dhoon"" in Barton Mills, Suffolk.",Personal life,,Academics,Personal Life
Alexander Fleming,1955,74,"On 11 March 1955, Alexander Fleming died at Alexander Fleming's home in London of a heart attack.",Death,,Academics,Personal Life
David Beckham,2016,41,"David Beckham held the England appearance record for an outfield player until 2016.A global ambassador of football, David Beckham is considered to be a British cultural icon.",summary,,Sports,Career
David Beckham,2008,33,"David Beckham was inducted into the English Football Hall of Fame in 2008, and the Premier League Hall of Fame in 2021.",summary,,Sports,Personal Life
David Beckham,1975,0,"David Beckham was born on 2 May 1975 at Whipps Cross University Hospital in Leytonstone, London, England.",Early life,,Sports,Personal Life
David Beckham,1949,-26,"David Beckham is the son of Sandra Georgina (nÃ©e West; b. 1949), a hairdresser, and David Edward Alan ""Ted"" Beckham (b. Edmonton, London, 1948), a kitchen fitter; the couple married in 1969 in the London Borough of Hackney.",Early life,,Sports,Personal Life
David Beckham,1986,11,David Beckham was a their team mascot for a match against West Ham United in 1986.,Early life,,Sports,Personal Life
David Beckham,1990,15,"During a two-year period in which David Beckham played for Brimsdown Rovers' youth team, David Beckham was named Under-15 Player of the Year in 1990.",Early life,,Sports,Personal Life
David Beckham,1992,17,David Beckham scored Manchester United's second goal in the 30th minute of Manchester United's 3â1 first-leg win of the final against Crystal Palace on 14 April 1992.,Club career,Manchester United,Sports,Career
David Beckham,1994,19,"On 7 December 1994, David Beckham made David Beckham's UEFA Champions League debut, scoring a goal in a 4â0 victory at home to Galatasaray in the final game of the group stage.",Club career,Manchester United,Sports,Career
David Beckham,1994,19,"At the beginning of the 1994â95 season, David Beckham was given the number 10 shirt that had most recently been worn by Mark Hughes.",Club career,Manchester United,Sports,Career
David Beckham,1996,21,"On 17 August 1996 (the first day of the Premier League season), David Beckham became something of a household name when David Beckham scored a spectacular goal in a match against Wimbledon.",Club career,Manchester United,Sports,Career
David Beckham,1994,19,"Despite David Beckham's achievements in the 1994â95 season, David Beckham was still unpopular among some opposition fans and journalists, and David Beckham was criticised after being sent off for a deliberate foul in Manchester United's World Club Championship match against Necaxa.",Club career,Manchester United,Sports,Career
David Beckham,1999,24,"David Beckham helped Manchester United retain the Premier League title in the 1999â2000 season by an 18-point margin, after being pushed by Arsenal and Leeds United for much of the season.",Club career,Manchester United,Sports,Career
David Beckham,2000,25,"In 2000, David Beckham was given permission to miss training to look after his son Brooklyn, who had gastroenteritis, but Alex Ferguson's was furious when Victoria Beckham was photographed at a London Fashion Week event on the same night, claiming that David Beckham would have been able to train if Victoria Beckham had looked after his son Brooklyn, who had gastroenteritis that day.",Club career,Manchester United,Sports,Personal Life
David Beckham,2002,27,"David Beckham scored nine Premier League goals, and had the most assists in Premier League with 12.On 10 April 2002",Club career,Manchester United,Sports,Career
David Beckham,2003,28,"The way David Beckham runs for everything, the way David Beckham tries David Beckham's best. David Beckham has everyone's respect.""âRonaldo speaking about David Beckham in October 2003.In late-August 2003",Club career,Real Madrid,Sports,Career
David Beckham,2003,28,"In July 2003, while David Beckham was in pre-season training in Spain, an intruder scaled a wall at the Beckham home while carrying a can of petrol.",Club career,Real Madrid,Sports,Career
David Beckham,2005,30,"On 3 December 2005, David Beckham was sent off for the third time that season in a league match against Getafe.",Club career,Real Madrid,Sports,Career
David Beckham,1996,21,"an empty-net goal marked the second time in David Beckham's career that David Beckham had scored from David Beckham's own half, the other being a 1996-goal from the half-way line against Wimbledon at Selhurst Park.",Club career,LA Galaxy,Sports,Career
David Beckham,2008,33,"In 2008, David Beckham's success in the England national team under Fabio Capello led to speculation that David Beckham might return to Europe to retain match fitness for the World Cup qualifying matches in 2009.",Club career,LA Galaxy,Sports,Career
David Beckham,2010,35,"rumours were confirmed on 4 February, when David Beckham stated that David Beckham was seeking a permanent transfer to AC Milan, in a bid to sustain David Beckham's the States career through the 2010 World Cup.",Club career,LA Galaxy,Sports,Career
David Beckham,2010,35,"David Beckham played 76Â minutes of the match at the San Siro â which ended 3â2 to Manchester United â before being substituted for Clarence Seedorf.David Beckham returned to Old Trafford for the second leg of the tie on 10 March 2010; David Beckham did not start the second leg of the tie on 10 March 2010, but was brought on for Ignazio Abate in the 64th minute to a positive reception from the home fans.",Club career,LA Galaxy,Sports,Career
David Beckham,2010,35,"the second leg of the tie on 10 March 2010 was the first time David Beckham had played against D.C. United at Old Trafford, and saw David Beckham create several scoring opportunities via crosses and corner kicks, but D.C. United dominated AC Milan and beat AC Milan 4â0, winning the tie 7â2.",Club career,LA Galaxy,Sports,Career
David Beckham,2012,37,"David Beckham was heavily linked with Paris Saint-Germain, but on 18 January 2012, MLS side LA Galaxy announced David Beckham had signed a new two-year contract to remain in Los Angeles.",Club career,LA Galaxy,Sports,Career
David Beckham,2013,38,"David Beckham's Paris Saint-Germain debut came on 24 February 2013, when David Beckham came off the bench in the 76th minute in a Ligue 1 home match against Marseille.",Club career,Paris Saint-Germain,Sports,Career
David Beckham,2012,37,"Following David Beckham's decision to retire at the end of the 2012â13 season, David Beckham was given specially designed boots in the colours of the Union Jack to wear in his final game.",Club career,Paris Saint-Germain,Sports,Career
David Beckham,2013,38,"On 18 May 2013, David Beckham was made captain in his final home game against Brest.",Club career,Paris Saint-Germain,Sports,Career
David Beckham,1996,21,"David Beckham made David Beckham's first appearance for England on 1 September 1996, in a FIFA World Cup qualifying match against Moldova.",International career,,Sports,Career
David Beckham,1998,23,"David Beckham played in all of England's's qualifying matches for the 1998 FIFA World Cup and was part of the 23-man squad for the 1998 FIFA World Cup, but England's's manager Glenn Hoddle publicly accused David Beckham of not concentrating on the 1998 FIFA World Cup, and David Beckham did not start in either of England's's first two games.",International career,1998 FIFA World Cup,Sports,Career
David Beckham,1998,23,"Many supporters and journalists blamed David Beckham for England's's and David Beckham became the target of criticism and abuse, including the hanging of an effigy outside a London pub, and the Daily Mirror printing a dartboard with a picture of David Beckham centred on the bullseye. David Beckham also received death threats after the 1998 FIFA World Cup.",International career,1998 FIFA World Cup,Sports,Career
David Beckham,2000,25,"The abuse that David Beckham was receiving from English supporters peaked during England's's 3â2 defeat by Portugal in Euro 2000, a match where Beckham set up two goals, when a group of England's supporters taunted David Beckham throughout Euro 2000, a match where Beckham set up two goals.",International career,Euro 2000 and England captaincy,Sports,Career
David Beckham,2002,27,"Give David Beckham a Knighthood!""âTelevision commentary on David Beckham's stoppage time 30-yard curling free-kick against Greece in the 2002 World Cup qualifying game in October 2001.On 15 November 2000, following Kevin Keegan's resignation as England's manager in October, David Beckham was promoted to team captain by the caretaker manager Peter Taylor, and then kept team captain under new manager Sven-GÃ¶ran Eriksson.David Beckham played a major role in helping England's qualify for 2002 World Cup, starring in an impressive 5â1 victory over Germany in Munich.",International career,Euro 2000 and England captaincy,Sports,Career
David Beckham,2001,26,"David Beckham was voted the BBC Sports Personality of the Year for 2001, and finished runner-up to LuÃ­s Figo of Portugal, for the FIFA World Player of the Year award.",International career,Euro 2000 and England captaincy,Sports,Career
David Beckham,2002,27,"David Beckham was partially fit by the time of the 2002 World Cup held in Japan and South Korea, and played in the first match against Sweden.",International career,2002 FIFA World Cup and Euro 2004,Sports,Career
David Beckham,2005,30,"In October 2005, David Beckham's sending off against Austria made David Beckham the first England captain to be sent off and the first player to be sent off twice while playing for England. David Beckham captained England for the 50th time in a friendly international against Argentina the following month.",International career,2002 FIFA World Cup and Euro 2004,Sports,Career
David Beckham,2006,31,"Having stepped down as captain after the 2006 World Cup, David Beckham was dropped completely from the England national team selected by new coach Steve McClaren on 11 August 2006.",International career,2006 FIFA World Cup,Sports,Career
David Beckham,2007,32,"On 26 May 2007, McClaren announced that David Beckham would be recalled to the England squad for the first time since stepping down as the England squad's captain.",International career,Post-2006 World Cup,Sports,Career
David Beckham,2008,33,"On 20 March 2008, David Beckham was recalled to the England squad by Capello for the friendly against France in Paris on 26 March.",International career,"100 England caps, final appearance",Sports,Career
David Beckham,2010,35,"In all, David Beckham had made 16 appearances out of a possible 20 for England under Capello until David Beckham's ruptured Achilles tendon of March 2010 ruled David Beckham out of selection for the 2010 FIFA World Cup in South Africa.",International career,"100 England caps, final appearance",Sports,Career
David Beckham,2012,37,David Beckham was named in the provisional squad to represent the Great Britain Olympic football team at the 2012 Olympics.,International career,"100 England caps, final appearance",Sports,Career
David Beckham,2019,44,"In January 2019 it was announced that David Beckham was set to join David Beckham's Class of '92 teammates as part owner of English non-league club Salford City, taking 10% of English non-league club Salford City previously held by Peter Lim, with taking being subject to Football Association approval.",Football-related business activities,Salford City,Sports,Personal Life
David Beckham,2019,44,"On 9 May 2019, at Bromley Magistrates Court, David Beckham was banned from driving for six months.",Personal life,Legal issues,Sports,Personal Life
David Beckham,2021,46,"As of 2021[update], David Beckham has more than 65 tattoos covering a large part of David Beckham's body, including tattoos on David Beckham's hands, neck and head.",Personal life,Tattoos,Sports,Personal Life
David Beckham,1999,24,"In David Beckham's autobiography David Beckham: My Side, David Beckham said that the idea of having tattoos came to David Beckham in 1999 after David Beckham's was born, following a conversation on the subject of tattoos with Mel B and Mel B's then-husband, Jimmy Gulzar.",Personal life,Tattoos,Sports,Personal Life
David Beckham,2014,39,"In January 2014, David Beckham appeared on Late Night with Jimmy Fallon on NBC in the United States, and in March David Beckham made a guest appearance in NBC TV's Sport Relief special of Only Fools and Horses. David Beckham was named one of GQ's 50 best dressed British men in 2015.In March 2015 David Beckham had the third highest social media rank in the world among sportspeople, behind Cristiano Ronaldo and Lionel Messi, with over 52 million Facebook fans.",Celebrity status and commercial partnerships,,Sports,Personal Life
David Beckham,2016,41,"During the 2016 EU referendum, David Beckham voiced David Beckham's opposition to Brexit (UK leaving the European Union) stating: ""For our children and our children's children our should be facing the problems of the world together and not alone.",Celebrity status and commercial partnerships,,Sports,Personal Life
David Beckham,2018,43,David Beckham was announced as the new Ambassadorial president of the British Fashion Council on 11 May 2018.,Celebrity status and commercial partnerships,,Sports,Personal Life
David Beckham,2013,38,"In 2013, David Beckham also donated all David Beckham's Â£3.4 million salary taken from Paris Saint-Germain to two children's charities in France.",Philanthropy,,Sports,Personal Life
Edvard Munch,1881,18,"Edvard Munch wrote Edvard Munch's goal in Edvard Munch's diary: ""In Edvard Munch's art Edvard Munch attempt to explain life and life's meaning to Edvard Munch.""In 1881, Edvard Munch enrolled at the Royal School of Art and Design of Kristiania, one of whose founders was his distant relative Jacob Munch.",Life,Studies and influences,Fine Arts,Career
Edvard Munch,1881,18,"1881, Edvard Munch demonstrated Edvard Munch's quick absorption of Edvard Munch's figure training at the Royal School of Art and Design of Kristiania, one of whose founders was his distant relative Jacob Munch in Edvard Munch's first portraits, including one of his father and Edvard Munch's first self-portrait.",Life,Studies and influences,Fine Arts,Career
Edvard Munch,1884,21,Edvard Munch's picture Morning (1884) was displayed at the Norwegian pavilion.,Life,Paris,Fine Arts,Career
Edvard Munch,1892,29,"By 1892, Edvard Munch formulated Edvard Munch's characteristic, and original, Synthetist style, as seen in Melancholy (1891), in which color is the symbol-laden element.",Life,Berlin,Fine Arts,Career
Edvard Munch,1906,43,"When the coming Fauvists, famous for their boldly false colors, held the coming Fauvists, famous for their boldly false colors,'s own exhibit in 1906â07, Edvard Munch was invited and displayed his works with the coming Fauvists, famous for their boldly false colors,.",Life,"Paris, Berlin and Kristiania",Fine Arts,Personal Life
David Hockney,1964,27,"As an important contributor to the pop art movement of the 1960s, David Hockney is considered one of the most influential British artists of the 20th century.David Hockney has owned residences and studios in Bridlington, and London, as well as two residences in California, where he has lived intermittently since 1964: one in the Hollywood Hills, one in Malibu, and an office and archives on Santa Monica Boulevard in West Hollywood, California, where he has lived intermittently since 1964.On 15 November 2018, David Hockney's 1972 work Portrait of an Artist (Pool with Two Figures) sold at Christie's auction house in New York City for $90 million (Â£70 million), becoming the most expensive artwork by a living artist sold at auction.",summary,,Fine Arts,Career
David Hockney,1904,-33,"David Hockney was born in Bradford, West Riding of Yorkshire, England, the fourth of five children of Kenneth Hockney (1904-1978), an accountant's clerk who later ran his own accountancy business, and who had been a conscientious objector in the Second World War, and Laura (1900-1999), nÃ©e Thompson, a devout Methodist and strict vegetarian.",Early life and education,,Fine Arts,Career
David Hockney,1966,29,"David Hockney then taught at the University of California, Los Angeles from 1966 to 1967, followed by the University of California, Berkeley in 1967.",Early life and education,,Fine Arts,Career
David Hockney,1999,62,"David Hockney also owned a 1,643-square-foot beach house at 21039 Pacific Coast Highway in Malibu, which David Hockney sold in 1999 for around $1.5Â million.",Career,,Fine Arts,Career
David Hockney,1997,60,"Until 1997, David Hockney rarely stayed for more than two weeks, when David Hockney's friend Jonathan Silver, who was terminally ill, encouraged David Hockney to capture the local surroundings.",Career,,Fine Arts,Career
David Hockney,1970,33,"David Hockney has repeatedly been drawn to the same subjects â David Hockney's family, employees, artists Mo McDermott and Maurice Payne, various writers David Hockney has known, fashion designers Celia Birtwell and Ossie Clark (Mr. and Mrs. Clark and Percy, 1970â71), curator Henry Geldzahler, art dealer Nicholas Wilder, George Lawson and George Lawson's ballet dancer lover, Wayne Sleep, and also David Hockney's romantic interests throughout the years, including Peter Schlesinger and Gregory Evans.",Work,Portraits,Fine Arts,Career
David Hockney,1954,17,David Hockney experimented with printmaking as early as a lithograph Self-Portrait in 1954 and worked in etchings during David Hockney's time at RCA.,Work,Printmaking,Fine Arts,Career
David Hockney,2009,72,"Since 2009, David Hockney has painted hundreds of portraits, still lifes and landscapes using the Brushes iPhone and iPad application, often sending hundreds of portraits, still lifes and landscapes to David Hockney's friends.",Work,Other technology,Fine Arts,Career
David Hockney,2017,80,"In 2017, David Hockney was awarded the San Francisco Opera Medal on the occasion of the revival and restoration of David Hockney's production for Puccini's Turandot.",Work,Theatre works,Fine Arts,Personal Life
David Hockney,1963,26,"David Hockney had David Hockney's first one-man show at Kasmin Limited when David Hockney was 26 in 1963, and by 1970 the Whitechapel Gallery in London had organised the first of several major retrospectives, which subsequently travelled to three European institutions.",Exhibitions,,Fine Arts,Career
David Hockney,2004,67,"In 2004, David Hockney was included in the cross-generational Whitney Biennial, where David Hockney's portraits appeared in a gallery with those of a younger artist David Hockney had inspired, Elizabeth Peyton.",Exhibitions,,Fine Arts,Career
David Hockney,2017,80,"From 9 February to 29 May 2017 David Hockney was presented at the Tate Britain, becoming the most-visited exhibition in the Tate Britain's history.",Exhibitions,,Fine Arts,Career
David Hockney,1961,24,"David Hockney has explored the nature of gay love in David Hockney's work, such in as the painting We Two Boys Together Clinging (1961), named after a poem by Walt Whitman.",Personal life,,Fine Arts,Career
David Hockney,1990,53,"David Hockney was offered a knighthood in 1990 but declined, before accepting an Order of Merit in January 2012.",Recognition,,Fine Arts,Personal Life
David Hockney,1988,51,"David Hockney was awarded The Royal Photographic Society's Progress medal in 1988 and the Special 150th Anniversary Medal and Honorary Fellowship in recognition of a sustained, significant contribution to the art of photography in 2003.",Recognition,,Fine Arts,Personal Life
David Hockney,1997,60,David Hockney was made a Companion of Honour in 1997 and awarded The Cultural Award from the German Society for Photography (DGPh).,Recognition,,Fine Arts,Personal Life
David Hockney,2012,75,"In 2012, David Hockney was appointed to an Order of Merit.[0",Recognition,,Fine Arts,Personal Life
David Hockney,1992,55,"David Hockney was appointed to the board of trustees of the American Associates of the Royal Academy Trust, New York in 1992 and was given a Foreign Honorary Membership to the American Academy of Arts and Sciences, Cambridge, Massachusetts in 1997.",Recognition,,Fine Arts,Personal Life
David Hockney,2003,66,"In 2003, David Hockney was awarded the Lorenzo de' Medici Lifetime Career Award of the Florence Biennale, Italy.",Recognition,,Fine Arts,Personal Life
David Hockney,2001,64,"David Hockney published David Hockney's conclusions in the 2001 book Secret Knowledge: Rediscovering the Lost Techniques of the Old Masters, which was revised in 2006.",The HockneyâFalco thesis,,Fine Arts,Career
David Hockney,2008,71," David Hockney was on the advisory board of the political magazine Standpoint, and contributed original sketches for the political magazine Standpoint's launch edition, in June 2008, as well as agreeing to allow the political magazine Standpoint to publish David Hockney's previous views and pictures over the years.David Hockney is a staunch pro-tobacco campaigner.",Public life,,Fine Arts,Personal Life
David Hockney,2009,72,David Hockney was invited to guest-edit BBC Radio's Today programme on 29 December 2009 in which David Hockney aired David Hockney's views on the subject.,Public life,,Fine Arts,Personal Life
David Hockney,2022,85,"In 2022, David Hockney was portrayed by Laurence Fuller in the 7th episode of the 1st season of Minx.",In popular culture,,Fine Arts,Career
John Paul II,1978,58,"John Paul II was elected pope on the third day of the second papal conclave of 1978 (becoming one of the youngest popes in history), which was called after John Paul I, who had been elected in the first papal conclave of 1978 earlier in August to succeed Pope Paul VI, John Paul I, who had been elected in the first papal conclave of 1978 earlier in August to succeed Pope Paul VI,died after 33 days.",summary,,Politics,Personal Life
John Paul II,2009,89,"On 19 December 2009, John Paul II was proclaimed venerable by John Paul II's successor, Benedict XVI, and was beatified on 1 May 2011 (Divine Mercy Sunday). John Paul II was canonised on 27 April 2014, together with John XXIII.",summary,,Politics,Personal Life
John Paul II,1884,-36,"Emilia Kaczorowska (1884â1929), who was of distant Lithuanian heritage died from a heart attack and kidney failure in 1929 when John Paul II was eight years old.",Early life,,Politics,Personal Life
John Paul II,1944,24,"On 29 February 1944, John Paul II was hit by a German truck.",Early life,,Politics,Personal Life
John Paul II,1946,26,"After finishing John Paul II's studies at the seminary in KrakÃ³w, John Paul II was ordained as a priest on All Saints' Day, 1 November 1946, by the Archbishop of KrakÃ³w, Cardinal Adam Stefan Sapieha.",Priesthood,,Politics,Personal Life
John Paul II,1947,27,"John Paul II earned a licence in July 1947, passed John Paul II's doctoral exam on 14 June 1948, and successfully defended John Paul II's doctoral thesis titled Doctrina de fide apud S. Ioannem a Cruce (The Doctrine of Faith in St. John of the Cross) in philosophy on 19 June 1948.",Priesthood,,Politics,Personal Life
John Paul II,1949,29,"In March 1949, John Paul II was transferred to the parish of Saint Florian in KrakÃ³w.",Priesthood,,Politics,Personal Life
John Paul II,1954,34,"In 1954, John Paul II earned a Doctorate in Sacred Theology, writing a dissertation titled ""Reevaluation of the possibility of founding a Catholic ethic on the ethical system of Max Scheler"" (Polish: Ocena moÅ¼liwoÅci zbudowania etyki chrzeÅcijaÅskiej przy zaÅoÅ¼eniach systemu Maksa Schelera).",Priesthood,,Politics,Personal Life
John Paul II,1961,41,"In 1961, John Paul II coined ""Thomistic Personalism"" to describe Aquinas's philosophy.",Priesthood,,Politics,Personal Life
John Paul II,1958,38,"In 1958, when John Paul II was named auxiliary bishop of KrakÃ³w, John Paul II's expressed concern that named would cause John Paul II to change.",Priesthood,,Politics,Personal Life
John Paul II,1958,38,"On 4 July 1958, while John Paul II was on a kayaking holiday in the lakes region of northern Poland, Pope Pius XII appointed John Paul II as an auxiliary bishop of KrakÃ³w.",Episcopate and cardinalate,Call to the episcopate,Politics,Personal Life
