year,age,event,category1,category2,Name,Career/Personal Life
2022,86,"On 24 July 2022, Pope Francis began an apostolic journey to Canada, expressing Pope Francis's sorrow, indignation, and shame over the church's abuse of Canadian indigenous children in residential schools.",Papacy (2013–present),Canadian indigenous residential schools,Pope Francis,Personal Life
2013,77,"In June 2013, Pope Francis suggested that ""if a person is gay and seeks God and has good will, who am Pope Francis to judge?""",Theological emphases,LGBT,Pope Francis,Personal Life
2020,84,"stated that Pope Francis supports legally recognising same-sex civil unions in a statement from an interview published in October 2020; a statement from an interview published in October 2020 was from an interview from 2019, but a statement from an interview published in October 2020 had been cut from public releases at the time.",Theological emphases,LGBT,Pope Francis,Personal Life
2016,80,"Since 2016, Pope Francis has also been contrasted with US President Donald Trump, elected that year, with some conservative critics drawing comparisons between the two.",Controversies,International policy,Pope Francis,Personal Life
2019,83,"In 2019, during the Hong Kong protests, Pope Francis was criticized by Catholic clergy in Hong Kong, with Cardinal Joseph Zen criticizing Pope Francis for not taking a stand against China and instead being quoted as saying ""Cardinal Joseph Zen would like to go to China.",Controversies,International policy,Pope Francis,Personal Life
2015,79,"""a visit in September 2015 comes amid a breakthrough for which Pope Francis has received much credit.""",International diplomatic role,,Pope Francis,Personal Life
2014,78,"On 5 November 2014, Pope Francis was ranked by Forbes as the fourth most powerful person in the world and was the only non-political figure in the top ranking.",Public image,,Pope Francis,Personal Life
2023,87,"During Pope Francis's trip to the Democratic Republic of the Congo in February 2023, Pope Francis shifted away from rumors of an imminent resignation.",Public image,,Pope Francis,Personal Life
2023,87,"In March 2023, Pope Francis was hospitalized in Rome with a respiratory infection.",Public image,,Pope Francis,Personal Life
2019,83,"Pope Francis is played by Jonathan Pryce in the biographical drama film The Two Popes (2019), costarring with Anthony Hopkins who plays Pope Benedict XVI.",Films,Portrayal in film,Pope Francis,Personal Life
