year,age,event,category1,category2,Name,Career/Personal Life
1997,44,"With victories in 1997, 2001, and 2005, Tony Blair was the Labour Party's's longest-serving prime minister, and the first person (and the only one, to date) to lead the Labour Party's to three consecutive general election victories.",Prime Minister (1997–2007),,Tony Blair,Personal Life
2005,52,"As the casualties of the Iraq War mounted, Tony Blair was accused of misleading Parliament, and Tony Blair's popularity dropped as a result, with Labour's's overall majority at the 2005 election reduced from 167 to 66 seats.",Prime Minister (1997–2007),Events before resignation,Tony Blair,Personal Life
2007,54,"On 10 May 2007, during a speech at the Trimdon Labour Club, Tony Blair announced Tony Blair's intention to resign as both Labour leader and prime minister, triggering a leadership election in which Brown was the only candidate.",Prime Minister (1997–2007),Events before resignation,Tony Blair,Personal Life
2007,54,"At a special party conference in Manchester on 24 June 2007, Tony Blair formally handed over the leadership of Labour's to BrownTony Blair's .",Prime Minister (1997–2007),Events before resignation,Tony Blair,Personal Life
1997,44,"Tony Blair has been credited with overseeing a strong economy, with real incomes of British citizens growing 18% between 1997 and 2006.",Policies,Economic policies,Tony Blair,Personal Life
2006,53,"Tony Blair was reported by The Guardian in 2006 to have been supported politically by Rupert Murdoch, the founder of the News Corporation organisation.",Relationship with media,Rupert Murdoch,Tony Blair,Personal Life
2008,55,"also gives lectures, earning up to US$250,000 for a 90-minute speech, and in 2008 Tony Blair was said to be the highest paid speaker in the world.Tony Blair",Post-premiership (since 2007),Private sector,Tony Blair,Personal Life
1441,-512,"Tony Blair was supported by Lord Falconer, who stated that the Iraq War had been authorised by United Nations Security Council Resolution 1441.In July 2017",Post-premiership (since 2007),Accusations of war crimes,Tony Blair,Personal Life
2021,68,"In October 2021, Tony Blair was named in the Pandora Papers.",Personal life,Wealth,Tony Blair,Personal Life
1996,43,"Tony Blair was reprimanded by Cardinal Basil Hume in 1996 for receiving Holy Communion at Mass, while still an Anglican, in contravention of canon law.",Personal life,Religious faith,Tony Blair,Personal Life
2005,52,"Robert Lindsay portrayed Tony Blair in the TV programme A Very Social Secretary (2005), and reprised the role in The Trial of Tony Blair (2007). Tony Blair was also portrayed by James Larkin in The Government Inspector (2005), and by Ioan Gruffudd in W. (2008).",Portrayals and cameo appearances,Portrayals,Tony Blair,Career
2006,53,"In the 2006 Channel 4 comedy drama documentary, Tony Blair: Rock Star, Tony Blair was portrayed by Christian Brassington.Tony Blair was portrayed by Damian Lewis in the Confessions of a Diary Secretary (2007) and by Toby Stephens in The Journey (2017).",Portrayals and cameo appearances,Portrayals,Tony Blair,Career
2011,58,"In The Hunt for Tony Blair (2011), a one-off The Comic Strip Presents... satire presented in the style of a 1950s film noir, Tony Blair is wrongly implicated in the deaths of Robin Cook and John Smith and on the run from Inspector Hutton.",Portrayals and cameo appearances,Blair in fiction and satire,Tony Blair,Career
2007,54,"In May 2007, Tony Blair was invested as a paramount chief by the chiefs and people of the village of Mahera in Sierra Leone.",Honours,,Tony Blair,Personal Life
2009,56,"On 16 February 2009, Tony Blair was awarded the Dan David Prize by Tel Aviv University for ""exceptional leadership and steadfast determination in helping to engineer agreements and forge lasting solutions to areas in conflict"". Tony Blair was awarded the Dan David Prize in May 2009.On 8 July 2010",Honours,,Tony Blair,Personal Life
2010,57,"On 13 September 2010, Tony Blair was awarded the Liberty Medal at the National Constitution Center in Philadelphia, Pennsylvania.",Honours,,Tony Blair,Personal Life
