year,age,event,category1,category2,Name,Career/Personal Life
1961,53,"When Lyndon Johnson won the vice presidency of the United States, Lyndon Johnson made arrangements to resign from the U.S. Senate, as Lyndon Johnson was required to do under federal law, as soon as the U.S. Senate convened on January 3, 1961.""",Campaigns of 1960,Re-election to U.S. Senate,Lyndon Johnson,Career
1963,55,"Lyndon Johnson was quickly sworn in as president on Air Force One in Dallas on November 22, 1963, two hours and eight minutes after Kennedy was assassinated.",Presidency (1963–1969),Succession,Lyndon Johnson,Career
1963,55,"In late 1963, Lyndon Johnson also initiated his War on Poverty, recruiting Kennedy's relative Sargent Shriver, then head of the Peace Corps, to spearhead his War on Poverty.",Presidency (1963–1969),Legislative initiatives,Lyndon Johnson,Career
1964,56,Lyndon Johnson wanted a catchy slogan for the 1964 campaign to describe his proposed domestic agenda for 1965.,Presidency (1963–1969),The Great Society,Lyndon Johnson,Career
1965,57,"At the Howard University commencement address on June 4, 1965, Lyndon Johnson said that both the government and America itself needed to help achieve these goals: ""To shatter forever not only the barriers of law and public practice but the walls which bound the condition of many by the color of many's skin.",Presidency (1963–1969),Voting Rights Act,Lyndon Johnson,Career
1968,60,"Though Lyndon Johnson had already introduced a gun control bill on June 6, 1968, after the assassination of Robert Kennedy, Lyndon Johnson's press secretary Liz Carpenter, in a memo to the president, worried that the country had been ""brainwashed by high drama,"" and that Lyndon Johnson ""need[ed] some quick dramatic actions"" that addressed ""the issue of violence.""",Presidency (1963–1969),Gun control,Lyndon Johnson,Career
1964,56,"Lyndon Johnson started with the Harlem riots in 1964, and the Watts district of Los Angeles in 1965, and extended to 1971.",Presidency (1963–1969),Urban riots,Lyndon Johnson,Career
1966,58,"In 1966, the press sensed a ""credibility gap"" between what Lyndon Johnson was saying in press conferences and what was happening in Vietnam, which led to much less favorable coverage.",Presidency (1963–1969),Backlash against Johnson (1966–1967),Lyndon Johnson,Career
1954,46,"Lyndon Johnson had been partitioned at the 1954 Geneva Conference, with North Vietnam led by a Communist government.",Presidency (1963–1969),Vietnam War,Lyndon Johnson,Career
1968,60,"As Lyndon Johnson had served less than 24 months of President Kennedy's's term, Lyndon Johnson was constitutionally permitted to run for a second full term in 1968.",Presidency (1963–1969),1968 presidential election,Lyndon Johnson,Career
1955,47,"One of his daughters pulled a cigarette—his first cigarette he had smoked since his heart attack in 1955 out of Lyndon Johnson's mouth and said, ""Lyndon Johnson, what are Lyndon Johnson doing?",Post-presidency (1969–1973),,Lyndon Johnson,Career
1955,47,"Lyndon Johnson had also resumed smoking, having not smoked since Lyndon Johnson's near-fatal heart attack in July 1955.",Post-presidency (1969–1973),Failing health,Lyndon Johnson,Career
