year,age,event,category1,category2,Name,Career/Personal Life
2017,54,"Brad Pitt played a recurring role as a weatherman on the late-night talk show The Jim Jefferies Show throughout 2017.A 2017 sequel to World War Z was in announced in 2016, before 2017.A 2017 sequel to World War Z was briefly delayed, then confirmed to be directed by David Fincher, and then ultimately shelved due to budget issues.",Career,Established actor (2009–present),Brad Pitt,Career
2004,41,"Brad Pitt visited the University of Missouri campus in October 2004 to encourage students to vote in the 2004 U.S. presidential election, in which Brad Pitt supported John Kerry.",Philanthropy and activism,,Brad Pitt,Personal Life
2006,43,"In an October 2006 interview with Esquire, Brad Pitt said that Brad Pitt would marry Jolie when everyone in America is legally able to marry.",Philanthropy and activism,,Brad Pitt,Personal Life
2012,49,"In March 2012, Brad Pitt was featured in a performance of Dustin Lance Black's play, 8 – a staged reenactment of the federal trial that overturned California's Prop 8 ban on same-sex marriage – as Judge Vaughn Walker.",Philanthropy and activism,,Brad Pitt,Personal Life
2005,42,"Brad Pitt was finalized by the Los Angeles Superior Court on October 2, 2005.",Personal life,Relationships,Brad Pitt,Personal Life
2008,45,"Brad Pitt adopted three-year-old Pax Thien in the United States on February 21, 2008.At the Cannes Film Festival in May 2008, Jolie confirmed that Jolie was expecting twins.",Personal life,Children,Brad Pitt,Personal Life
2016,53,"In September 2016, the FBI and the Los Angeles Department of Children and Family Services investigated Brad Pitt for child abuse following an incident on a plane, where Brad Pitt was accused by an anonymous person of being ""verbally abusive"" and ""physical"" towards one of the children's.",Personal life,Children,Brad Pitt,Personal Life
2022,59,"In 2022, Brad Pitt said that Brad Pitt had struggled for years to recognize people's faces due to prosopagnosia (face blindness).",Personal life,Prosopagnosia,Brad Pitt,Personal Life
2013,50,"In a 2013 interview, Brad Pitt said that Brad Pitt's inability to recognize people's faces had become so severe that Brad Pitt often wanted to stay home.",Personal life,Prosopagnosia,Brad Pitt,Personal Life
1995,32,"Brad Pitt has been cited as a sex symbol by many sources, including Empire, who named Brad Pitt one of the 25 sexiest stars in film history in 1995.",Public image,,Brad Pitt,Career
1995,32,"1995, Brad Pitt was named People's Sexiest Man Alive, an accolade Brad Pitt received again in 2000.",Public image,,Brad Pitt,Career
2009,46,"Brad Pitt was again included on the Time 100 list, a compilation of the 100 most influential people in the world, as selected annually by Time magazine in 2009, this time in the ""Builders and Titans"" list.",Public image,,Brad Pitt,Career
