year,age,event,category1,category2,Name,Career/Personal Life
2018,71,"In September 2018, Elton John reportedly signed an agreement with Universal Music Group (UMG) to represent Elton John's new music ""for the rest of Elton John's career"" in addition to Elton John's work from the last 50 years.",Career,2018–present: Farewell Yellow Brick Road and more,Elton John,Career
2020,73,"In early 2020, Elton John played piano on Ozzy Osbourne's's rock ballad ""Ordinary Man"", released on Ozzy Osbourne's's album of the same name.",Career,2018–present: Farewell Yellow Brick Road and more,Elton John,Career
2021,74,"On 4 June 2021, Elton John was projected on to the facade of Buckingham Palace playing ""Your Song"" (pre-recorded at Windsor Castle) at the Platinum Party at Buckingham Palace to mark the Queen's Platinum Jubilee.",Career,2018–present: Farewell Yellow Brick Road and more,Elton John,Career
2022,75,"a new musical about the life of televangelist Tammy Faye Messner, opened at the Almeida Theatre in London in October Elton John is among the people interviewed for the documentary film If These Walls Could Sing directed by Mary McCartney about the recording studios at Abbey Road which premiered in November 2022.On 25 June 2021, Elton John headlined the Glastonbury Festival.",Career,2018–present: Farewell Yellow Brick Road and more,Elton John,Career
1970,23,"In 1970, right after Elton John's first US shows in Los Angeles, Elton John lost Elton John's virginity to and started Elton John's first gay relationship with John Reid, the Tamla Motown label manager for the UK, who later became John's manager.",Personal life,Sexuality and family,Elton John,Career
1976,29,"sued was settled later the same year.Elton John had come out as bisexual in a 1976 interview with Rolling Stone, and in 1992 Elton John told Rolling Stone in another interview that Elton John was ""quite comfortable about being gay"".",Personal life,Sexuality and family,Elton John,Career
2019,72,"A decade later, Elton John was estimated to have a fortune of £320 million in the 2019 Sunday Times Rich List, making Elton John one of the 10 wealthiest people in the British music industry.",Personal life,Wealth,Elton John,Career
2004,57,"Every year since 2004, Elton John has opened a shop called ""Elton's Closet"", in which Elton John sells Elton John's secondhand clothes.[needs update]In October 2021, Elton John was named in the Pandora Papers, which allege a secret financial deal of politicians and celebrities using tax havens in an effort to avoid the payment of owed taxes.",Personal life,Wealth,Elton John,Personal Life
2017,70,"On 22 April 2017, Elton John was discharged from hospital after two nights of intensive care for contracting ""a harmful and unusual"" bacterial infection during Elton John's return flight home from a South American tour in Santiago, Chile, and was forced to cancel all Elton John's shows scheduled for April and May 2017.",Personal life,Other,Elton John,Career
2022,75,"On 4 June 2022, Elton John was projected on to the facade of the Palace playing ""Your Song"" (pre-recorded at Windsor Castle) at the Platinum Party at the Palace to mark the Queen's's Platinum Jubilee.",Personal life,Political views,Elton John,Career
2008,61,"In 2008, after United States senator Barack Obama won the 2008 United States presidential election, Elton John called United States senator Barack Obama's victory ""incredibly moving."" Elton John would later meet",Personal life,Political views,Elton John,Career
2017,70,"Elton John was among 27 artists to have opposed Donald Trump's's use of their music at Donald Trump's's campaign rallies, and declined an invitation to attend Donald Trump's's inauguration in January 2017, stating: ""Elton John have given it at lot of thought, and as a British National Elton John don't feel that it's appropriate for Elton John to play at the inauguration of an American President, please accept Elton John's apologies."" Elton John also exhorted Donald Trump's to continue the global fight against HIV/AIDS, and closed Elton John's letter by wishing Donald Trump's ""every success with Donald Trump's's presidency.""",Personal life,Political views,Elton John,Career
2019,72,"In 2019, Elton John said the Brexit vote and the way the Brexit vote had been handled had made Elton John ashamed.",Personal life,Political views,Elton John,Career
2021,74,"In September 2021, Elton John said that Elton John's requests to meet with Boris Johnson regarding Brexit and touring visas for musicians were ignored.",Personal life,Political views,Elton John,Career
1985,38,"In 1985, Elton John joined with Dionne Warwick, Gladys Knight and Stevie Wonder to record the single ""That's What Friends Are For"", with profits donated to the American Foundation for AIDS Research.",Philanthropy,AIDS foundation,Elton John,Career
1992,45,"Elton John founded the Elton John AIDS Foundation in 1992 as a charity to fund programmes for AIDS prevention, for the elimination of prejudice and discrimination against AIDS-affected individuals, and to provide services to people living with or at risk of contracting AIDS.",Philanthropy,AIDS foundation,Elton John,Personal Life
1992,45,"In 1992, along with Bernie Taupin, Elton John was inducted into the Songwriter's Hall of Fame.",Artistry,Musicianship,Elton John,Personal Life
1994,47,Elton John was inducted into the Rock and Roll Hall of Fame in Elton John's first year of eligibility in 1994.,Honours and awards,,Elton John,Personal Life
1995,48,Elton John was appointed a Commander of the Order of the British Empire (CBE) in 1995.,Honours and awards,,Elton John,Personal Life
1998,51,"For Elton John's charitable work, Elton John was knighted by Elizabeth II on 24 February 1998 for services to music and to charity.",Honours and awards,,Elton John,Personal Life
2020,73,"In the 2020 New Year Honours, Elton John was appointed Member of the Order of the Companions of Honour (CH) by Elizabeth II for services to music and to charity.[0",Honours and awards,,Elton John,Personal Life
2004,57,Elton John received a Kennedy Center Honor in 2004 and a Disney Legends Award in 2006.,Honours and awards,,Elton John,Personal Life
2000,53,"In 2000, Elton John was named the MusiCares Person of the Year for Elton John's artistic achievement in the music industry and dedication to philanthropy.",Honours and awards,,Elton John,Personal Life
2010,63,"In 2010, Elton John received the PRS for Music Heritage Award, which was erected on The Namaste Lounge Pub in Northwood, London, where Elton John performed Elton John's first gig.",Honours and awards,,Elton John,Personal Life
1991,44,"Elton John has also received five Brit Awards, including the 1991 award for Best British Male, and awards for Outstanding Contribution to Music in 1986 and 1995.",Honours and awards,,Elton John,Personal Life
