year,age,event,category1,category2,Name,Career/Personal Life
1970,35,"Julie Andrews was nominated for the Golden Globe Award for Best Actress – Motion Picture Comedy or Musical, while Darling Lili (1970), co-starring Rock Hudson and directed by her second husband, Blake Edwards won both the Golden Globe and Academy Awards for Best Original Song.",Career,1968–1996: Career setbacks and mid career,Julie Andrews,Personal Life
1974,39,"Julie Andrews made only two other films in the 1970s, The Tamarind Seed (1974) and 10 (1979), both successful at the box office and by critics' reviews.",Career,1968–1996: Career setbacks and mid career,Julie Andrews,Personal Life
1980,45,"In February 1980, Julie Andrews headlined ""Because We Care"", a CBS-TV special with 30 major stars raising funds for Cambodian Famine victims through Operation California (now Operation USA, on whose Board Julie Andrews serves).",Career,1968–1996: Career setbacks and mid career,Julie Andrews,Personal Life
1982,47,"Julie Andrews's performance earned Julie Andrews a Golden Globe Award for Best Actress – Motion Picture Comedy or Musical, as well as a nomination for the 1982 Academy Award for Best Actress, her third Oscar nomination.",Career,1968–1996: Career setbacks and mid career,Julie Andrews,Personal Life
1983,48,"In 1983, Julie Andrews was chosen as the Hasty Pudding Woman of the Year by the Harvard University Theatrical Society.",Career,1968–1996: Career setbacks and mid career,Julie Andrews,Personal Life
1989,54,"Two years later, Julie Andrews was reunited for the third time with Carol Burnett for a variety special which aired on the ABC network in December 1989.In 1991, Julie Andrews made Julie Andrews's television dramatic debut in the the ABC network made-for-TV film, Our Sons, co-starring Ann-Margret.",Career,1968–1996: Career setbacks and mid career,Julie Andrews,Personal Life
1991,56,Julie Andrews was named a Disney Legend within 1991.,Career,1968–1996: Career setbacks and mid career,Julie Andrews,Personal Life
1999,64,"The next year Julie Andrews was reunited with James Garner for the CBS made-for-TV film, One Special Night, which aired in November 1999.In the 2000 New Year Honours List, Julie Andrews was made a Dame Commander of the Order of the British Empire (DBE) for services to the performing arts and received a Dame Commander of the Order of the British Empire (DBE) from Queen Elizabeth II at Buckingham Palace.",Career,2000–present: Children's entertainment and later roles,Julie Andrews,Personal Life
2003,68,"Eloise at the Plaza Hotel in New York City premiered in April 2003, and Eloise at Christmastime was broadcast in November 2003; Julie Andrews was nominated for an Emmy Award.",Career,2000–present: Children's entertainment and later roles,Julie Andrews,Personal Life
2007,72,"In January 2007, Julie Andrews was honoured with the Lifetime Achievement Award at the Screen Actors Guild's awards and stated that Julie Andrews's goals included continuing to direct for the stage and possibly to produce Julie Andrews's own Broadway musical.",Career,2000–present: Children's entertainment and later roles,Julie Andrews,Personal Life
2009,74,"In January 2009, Julie Andrews was named on The Times' list of the top 10 British Actresses of all time.",Career,2000–present: Children's entertainment and later roles,Julie Andrews,Personal Life
2010,75,"On 9 July 2010, Despicable Me, an animated film in which Julie Andrews lent Julie Andrews's voice to Marlena Gru, the thoughtless and soul-crushing mother of the main character Gru (voiced by Steve Carell), opened to rave reviews and strong box office.",Career,2000–present: Children's entertainment and later roles,Julie Andrews,Personal Life
2013,78,"At the age of 77, Julie Andrews undertook her first tour of Australia and New Zealand in 2013, hosted by Nicholas Hammond who was a boy of 14 when they appeared together in The Sound of Music.",Career,2000–present: Children's entertainment and later roles,Julie Andrews,Personal Life
2022,87,"On 9 June 2022, Julie Andrews was honoured by the American Film Institute with a Lifetime Achievement Award, where Julie Andrews reflected on Julie Andrews's career and received tributes by multiple artists.",Career,2000–present: Children's entertainment and later roles,Julie Andrews,Personal Life
1948,13,They first met in 1948 when Julie Andrews was appearing at the London Casino in the show Humpty Dumpty.,Personal life,,Julie Andrews,Career
1997,62,Julie Andrews was forced to quit the Victor/Victoria stage production towards the end of the Broadway run in 1997 when Julie Andrews developed hoarseness in her voice.,Vocal styling,Loss of singing voice,Julie Andrews,Career
1997,62,admits that Julie Andrews has never recovered from the botched attempt to remove nodules from Julie Andrews's vocal cords back in 1997.,Vocal styling,Loss of singing voice,Julie Andrews,Career
