year,age,event,category1,category2,Name,Career/Personal Life
1994,48,"On April 22, 1994, Janet Yellen announced Janet Yellen's intention to nominate Janet Yellen as a member of the Federal Reserve Board of Governors, alongside Alan Blinder, who has been designated as vice chairman.",Federal Reserve (1994–1997),,Janet Yellen,Personal Life
1997,51,"Janet Yellen was unanimously confirmed by the Senate on February 13, 1997, thereby becoming the second woman to serve as chief economic advisor to Clinton after Laura Tyson.",Council of Economic Advisers (1997–1999),,Janet Yellen,Career
2009,63,"In July 2009, Janet Yellen was mentioned as a potential successor to Chairman Ben Bernanke when Chairman Ben Bernanke's term was set to expire before Chairman Ben Bernanke was re-nominated for a second four-year term.",Return to the Federal Reserve (2004–2018),Federal Reserve Bank of San Francisco,Janet Yellen,Personal Life
2010,64,"Janet Yellen eventually emerged as the leading contender for vice chair of the Federal Reserve Board in March 2010, and following Janet Yellen's Senate confirmation, Janet Yellen resigned from the Federal Reserve Bank of San Francisco in October of 2010.",Return to the Federal Reserve (2004–2018),Federal Reserve Bank of San Francisco,Janet Yellen,Personal Life
2013,67,"In July 2013, Janet Yellen was pushed to be named the first chairwoman of the Federal Reserve in a letter that was circulated among the Senate Democrats and had been signed by almost a third of the 54 caucus senators, who primarily represent the liberal wing of the Senate Democrats.",Return to the Federal Reserve (2004–2018),Vice Chair of the Federal Reserve,Janet Yellen,Personal Life
2013,67,"On October 9, 2013, Janet Yellen was officially nominated to replace Bernanke as chair of the Federal Reserve, the first vice chair ever to be elevated to chair of the Federal Reserve.",Return to the Federal Reserve (2004–2018),Chair of the Federal Reserve,Janet Yellen,Personal Life
2014,68,"On January 6, 2014, Janet Yellen was confirmed as chair of the Federal Reserve by a vote of 56–26, the narrowest margin ever for chair of the Federal Reserve.",Return to the Federal Reserve (2004–2018),Chair of the Federal Reserve,Janet Yellen,Personal Life
2014,68,"Janet Yellen was sworn into office on February 3, 2014, and was previously elected as the Federal Reserve chair on January 30.",Return to the Federal Reserve (2004–2018),Chair of the Federal Reserve,Janet Yellen,Personal Life
2014,68,"In July 2014, at Janet Yellen's first semi-annual congressional testimony on U S. monetary policy, Janet Yellen said, ""while real estate, equities, and corporate bond prices have risen appreciably and valuation metrics have increased real estate, equities, and corporate bond prices were generally in line with historical norms."" Janet Yellen also acknowledged some concerns about the valuations of lower-rated corporate debt and affirmed that Janet Yellen and other the Federal Reserve officials were monitoring trends but did not believe that a so-called ""everything bubble"" was forming.",Return to the Federal Reserve (2004–2018),Chair of the Federal Reserve,Janet Yellen,Personal Life
2017,71,"Janet Yellen provided further support for financial regulations enacted in the wake of the Great Recession in a speech to the Jackson Hole Economic Symposium on August 25, 2017.",Return to the Federal Reserve (2004–2018),Chair of the Federal Reserve,Janet Yellen,Personal Life
2024,78,"Janet Yellen made Janet Yellen's resignation from the Federal Reserve Board at the conclusion of Janet Yellen's chairmanship known after incoming President Donald Trump's's choice, despite still having Janet Yellen's assignment as the Federal Reserve governor until 2024.",Return to the Federal Reserve (2004–2018),Chair of the Federal Reserve,Janet Yellen,Personal Life
1970,24,Janet Yellen completed her tenure the Federal Reserve with the lowest final unemployment rate of any the Federal Reserve chair since William McChesney Martin in 1970.,Return to the Federal Reserve (2004–2018),Chair of the Federal Reserve,Janet Yellen,Personal Life
2018,72,"On February 2, 2018, the Brookings Institution announced that Janet Yellen would join the Brookings Institution as a distinguished fellow in residence with the Economic Studies program, effective February 5, 2018.",After the Federal Reserve (2018–2020),,Janet Yellen,Personal Life
2020,74,"In November 2020, Janet Yellen left Janet Yellen's position at the Brookings Institution after being selected as a nominee to serve as Treasury secretary.",After the Federal Reserve (2018–2020),,Janet Yellen,Personal Life
2020,74,"Following the 2020 presidential election, Janet Yellen was routinely mentioned as a possible secretary of the treasury in the incoming Biden administration.",Secretary of the Treasury (2021–present),Nomination and confirmation,Janet Yellen,Personal Life
1934,-12,"Janet Yellen was arguably the most liberal Federal Reserve leader since Marriner S. Eccles, who was appointed by President Franklin D. Roosevelt amidst the Great Depression in 1934.",Economic philosophy,,Janet Yellen,Personal Life
2021,75,", Janet Yellen has been parodied by NBC's sketch comedy show Saturday Night Live (SNL) cast member Kate McKinnon in 2021.",In popular culture,,Janet Yellen,Career
