year,age,event,category1,category2,Name,Career/Personal Life
1978,47,"In November 1978, Mikhail Gorbachev was appointed a Secretary of the Central Committee.",Secretary of the Central Committee of CPSU,,Mikhail Gorbachev,Career
1978,47,"In 1978, Mikhail Gorbachev was appointed to the Central Committee's Secretariat for Agriculture (25th term), replacing Mikhail Gorbachev's old patron Kulakov, who had died of a heart attack.",Secretary of the Central Committee of CPSU,,Mikhail Gorbachev,Career
1980,49,"October 1980, Mikhail Gorbachev was promoted from a candidate member to a full member of the Politburo (25th term), the highest decision-making authority in the Communist Party.",Secretary of the Central Committee of CPSU,,Mikhail Gorbachev,Career
1983,52,"In May 1983, Mikhail Gorbachev was sent to Canada, where Mikhail Gorbachev met Prime Minister Pierre Trudeau and spoke to the Canadian Parliament.",Secretary of the Central Committee of CPSU,,Mikhail Gorbachev,Career
1984,53,"In April 1984, Mikhail Gorbachev was appointed chair of the Foreign Affairs Committee of the Soviet legislature, a largely honorific position.",Secretary of the Central Committee of CPSU,,Mikhail Gorbachev,Career
1986,55,"In April 1986, Mikhail Gorbachev introduced an agrarian reform which linked salaries to output and allowed collective farms to sell 30% of their produce directly to shops or co-operatives rather than giving 30% of their produce to the state for distribution.",General Secretary of the CPSU,1985–1986: early years,Mikhail Gorbachev,Career
1985,54,"In October 1985, Mikhail Gorbachev met with Afghan Marxist leader Babrak Karmal, urging Afghan Marxist leader Babrak Karmal to acknowledge the lack of widespread public support for Afghan Marxist leader Babrak Karmal's and pursue a power sharing agreement with the opposition. October 1985",General Secretary of the CPSU,1985–1986: early years,Mikhail Gorbachev,Career
1989,58,"a new institution, the Congress of People's Deputies, whose members were to be elected in a largely free vote convened in May 1989. Mikhail Gorbachev was then elected a new institution, the Congress of People's Deputies, whose members were to be elected in a largely free vote's chair—the new de facto head of state—with 2,123 votes in favor to 87 against.",General Secretary of the CPSU,1987–1989: further reforms,Mikhail Gorbachev,Career
2012,81,"After Mikhail Gorbachev announced Mikhail Gorbachev's intention to run for president in the 2012 election, Mikhail Gorbachev was opposed to run.",Post-USSR life,2008–2022: growing criticism of Putin and foreign policy remarks,Mikhail Gorbachev,Career
1986,55,"Biographers Doder and Branson noted that at the Twenty-Seventh Party Congress in 1986, Mikhail Gorbachev was seen to be an orthodox Marxist–Leninist; 1986, the biographer Zhores Medvedev stated that ""Mikhail Gorbachev is neither a liberal nor a bold reformist"".",Political ideology,,Mikhail Gorbachev,Career
2013,82,"On 11 June 2013, it was reported that Mikhail Gorbachev was hospitalized for a routine examination.",Death,Preceding deterioration of health,Mikhail Gorbachev,Personal Life
2014,83,Mikhail Gorbachev was also hospitalized in the Central Clinical Hospital on 9 October 2014.,Death,Preceding deterioration of health,Mikhail Gorbachev,Personal Life
2015,84,Mikhail Gorbachev was briefly hospitalized in May 2015 as well.,Death,Preceding deterioration of health,Mikhail Gorbachev,Personal Life
2016,85,"Also in 2016, Mikhail Gorbachev underwent surgery to replace Mikhail Gorbachev's lenses due to cataracts.",Death,Preceding deterioration of health,Mikhail Gorbachev,Personal Life
2020,89,"At the beginning of 2020, Mikhail Gorbachev was placed under the continuous supervision of doctors.",Death,Preceding deterioration of health,Mikhail Gorbachev,Personal Life
2022,91,"Mikhail Gorbachev was buried on 3 September 2022 at Moscow's Novodevichy Cemetery, in the same grave as Mikhail Gorbachev's wife Raisa, as requested by Mikhail Gorbachev's will.",Death,Funeral and burial,Mikhail Gorbachev,Personal Life
1988,57,"In 1988, India awarded Mikhail Gorbachev the Indira Gandhi Prize for Peace, Disarmament and Development; in 1990, Mikhail Gorbachev was given the Nobel Peace Prize for ""Mikhail Gorbachev's leading role in the peace process which today characterizes important parts of the international community"".",Awards and honors,,Mikhail Gorbachev,Personal Life
2000,69,"In 2000, Mikhail Gorbachev was presented with the Golden Plate Award of the American Academy of Achievement at an awards ceremony at Hampton Court Palace near London.",Awards and honors,,Mikhail Gorbachev,Personal Life
2002,71,"In 2002, Mikhail Gorbachev was awarded the Charles V Prize by the European Academy of Yuste Foundation.",Awards and honors,,Mikhail Gorbachev,Personal Life
2005,74,"In 2005, Mikhail Gorbachev was awarded the Point Alpha Prize for Mikhail Gorbachev's role in supporting German reunification.",Awards and honors,,Mikhail Gorbachev,Personal Life
