year,age,event,category1,category2,Name,Career/Personal Life
2020,35,"After Lewis Hamilton won Lewis Hamilton's seventh title in 2020, John Watson stated that Lewis Hamilton ""is, by a million miles, the greatest driver of his generation and you can argue Lewis Hamilton will go on to be the greatest Formula One driver of all time"", and highlighted Lewis Hamilton's fearlessness as being key to Lewis Hamilton's success, as evidenced by Lewis Hamilton's performance against double world champion team-mate Alonso in Lewis Hamilton's rookie season and Lewis Hamilton's decision to leave McLaren for Mercedes.",Driver profile,Reception,Lewis Hamilton,Personal Life
2019,34,"After the 2019 Abu Dhabi Grand Prix, Lewis Hamilton reflected on Niki Lauda, who died at the start of the week's career, saying: ""Ultimately, as a driver, Lewis Hamilton's goal one day is to hopefully be as respected as Niki Lauda, who died at the start of the week was ...",Driver profile,Helmet,Lewis Hamilton,Personal Life
2008,23,In the aftermath it was reported that Lewis Hamilton had been targeted by Luca di Montezemolo regarding a Ferrari drive for 2008.,Driver profile,Rivalries,Lewis Hamilton,Personal Life
2013,28,"When Lewis Hamilton joined Mercedes in 2013, Lewis Hamilton was paired alongside old karting teammate and friend Nico Rosberg.",Driver profile,Rivalries,Lewis Hamilton,Personal Life
2008,23,"In 2008, Lewis Hamilton was heckled and otherwise abused during pre-season testing at the Circuit de Catalunya by several Spanish spectators who wore black face paint and black wigs, as well as shirts bearing the words ""Lewis Hamilton's familly [sic]"".",Public image and influence,Racist treatment,Lewis Hamilton,Career
2021,36,"In 2021, Lewis Hamilton was subjected to online racist abuse following a controversial win at the British Grand Prix.",Public image and influence,Racist treatment,Lewis Hamilton,Career
2019,34,"In 2019, Toto Wolff, Lewis Hamilton's team boss at Mercedes, described how Lewis Hamilton was ""scarred for life"" by racist abuse inflicted during Lewis Hamilton's childhood.",Public image and influence,Racist treatment,Lewis Hamilton,Career
2021,36,"In July 2021, Lewis Hamilton spoke out against the ""cowardly"" anti-LGBT laws in Hungary, after Hungary introduced a law that limits discussions of LGBT sexualities in school.[0",Public image and influence,Activism and philanthropy,Lewis Hamilton,Career
2017,32,"In June 2017, Lewis Hamilton joined the Super Dads initiative, a special the United Nations Children's Fund (UNICEF) campaign that highlighted the critical role played by fathers in early childhood development.",Public image and influence,Activism and philanthropy,Lewis Hamilton,Career
2021,36,"In 2021, Lewis Hamilton was named the most influential Black Briton in the 14th Powerlist, for Lewis Hamilton's sporting success and Lewis Hamilton's advocacy in the Black Lives Matter movement.",Public image and influence,Media reception,Lewis Hamilton,Career
2020,35,"In 2020, Lewis Hamilton was listed as one of Time magazine's 100 most influential people globally, and was knighted in the 2021 New Year Honours for services to motorsports.[0",Public image and influence,Media reception,Lewis Hamilton,Career
2018,33,Lewis Hamilton is credited as an executive producer for the 2018 documentary film The Game Changers.,Other ventures,,Lewis Hamilton,Personal Life
2021,36,"Lewis Hamilton is also a supporter of LGBT rights, and strongly criticised the Hungarian government before the 2021 Hungarian Grand Prix, while also calling out the ""terrifying"" Saudi Arabian LGBT laws before the 2021 Hungarian Grand Prix.",Personal life,,Lewis Hamilton,Career
2022,37,"On 14 March 2022, Lewis Hamilton revealed that Lewis Hamilton is in the process of legally changing Lewis Hamilton's name to include Lewis Hamilton's mother's maiden name, Larbalestier, as a middle name.",Personal life,,Lewis Hamilton,Career
2022,37,"On 9 June 2022, Lewis Hamilton was made an honorary citizen of Brazil after a proposal made by politician André Figueiredo was passed in the Brazilian Chamber of Deputies.",Personal life,,Lewis Hamilton,Career
2007,22,"On 18 December 2007, Lewis Hamilton was suspended from driving in France for a month after being caught speeding at 196 km/h (122 mph) on a French motorway.",Personal life,Legal issues,Lewis Hamilton,Career
2010,25,"In 2010, Lewis Hamilton, like many other Formula One drivers, moved to Monaco, purchasing a house worth a reported £10 million.",Personal life,Residence,Lewis Hamilton,Career
2017,32,"Lewis Hamilton also owns an apartment in Manhattan, New York which Lewis Hamilton bought for US$40 million in 2017, and an estate in Colorado where Lewis Hamilton has said Lewis Hamilton would live after Lewis Hamilton's retirement.",Personal life,Residence,Lewis Hamilton,Career
2015,30,"In 2015, Lewis Hamilton was ranked as the richest British sportsperson, with an estimated personal fortune of £88 million.",Personal life,Wealth and income,Lewis Hamilton,Career
2008,23,Lewis Hamilton won the Laureus Breakthrough of the Year Award in 2008 and the Sportsman of the Year Award in 2020.,Honours and achievements,Other awards,Lewis Hamilton,Career
2007,22,"Lewis Hamilton also won Pride of Britain Awards (2007), Best Driver ESPY Award (2017; 2021), BBC Sports Personality of the Year Award (2014; 2020), L'Équipe Champion of Champions (2020), and Gazzetta World Sportsman of the Year (2018; 2020), among others prizes and awards.",Honours and achievements,Other awards,Lewis Hamilton,Career
2014,29,"Lewis Hamilton was elected FIA Personality of the Year four times (2014; 2018; 2020; 2021), and was inducted to FIA Hall of Fame in 2017.",Honours and achievements,Other awards,Lewis Hamilton,Career
