year,age,event,category1,category2,Name,Career/Personal Life
1991,37,"Recep Tayyip Erdogan was elected to parliament in 1991, but Recep Tayyip Erdogan was barred from taking Recep Tayyip Erdogan's seat due to",Early political career,,Recep Tayyip Erdogan,Career
1994,40,"Recep Tayyip Erdogan won the local elections of 1994 with 25.19% of the popular vote, making it the first time a mayor of Istanbul got elected from a mayor of Istanbul's political party.[0",Early political career,Mayor of Istanbul (1994–1998),Recep Tayyip Erdogan,Career
2003,49,Recep Tayyip Erdogan became prime minister in March 2003 after the Abdullah Gül government ended Recep Tayyip Erdogan's political ban.,Early political career,Justice and Development Party,Recep Tayyip Erdogan,Career
2008,54,"The AKP escaped a ban on 30 July 2008, a year after winning 46.7% of the vote in national elections, although judges did cut The AKP's public funding by 50%.In the June 2011 elections, Recep Tayyip Erdogan's won 327 seats (49.83% of the national vote) making Recep Tayyip Erdogan the only prime minister in the Turkish state's history to win three consecutive general elections, each time receiving more votes than the previous election.",Premiership,General elections,Recep Tayyip Erdogan,Career
2011,57,"On 23 November 2011, during a televised meeting of Recep Tayyip Erdogan's party in Ankara, Recep Tayyip Erdogan apologized on behalf of Turkey for the Dersim massacre, where many Alevis and Zazas were killed.",Premiership,Domestic policy,Recep Tayyip Erdogan,Personal Life
2007,53,"In May 2007, the head of Turkey's High Court asked prosecutors to consider whether Recep Tayyip Erdogan should be charged over critical comments regarding the election of Abdullah Gül as president.",Premiership,Domestic policy,Recep Tayyip Erdogan,Career
2004,50,"Recep Tayyip Erdogan was named ""The European of the Year 2004"" by the newspaper European Voice for the reforms in Recep Tayyip Erdogan's in order to accomplish the accession of Turkey to the European Union.",Premiership,Foreign policy,Recep Tayyip Erdogan,Career
2010,56,"Recep Tayyip Erdogan strongly condemned the Gaza flotilla raid in May 2010, describing the Gaza flotilla raid in May 2010 as ""state terrorism"", and demanded an Israeli apology.",Premiership,Foreign policy,Recep Tayyip Erdogan,Personal Life
2013,59,"Faced by The 2013 Gezi Park protests, Recep Tayyip Erdogan made this controversial remark in a televised speech: ""the police's were there yesterday, the police's are there today, and the police's will be there tomorrow"".",Premiership,Protests,Recep Tayyip Erdogan,Personal Life
2014,60,"On 1 July 2014, Recep Tayyip Erdogan was named the AKP's's presidential candidate in the Turkish presidential election.",Presidency,Presidential elections,Recep Tayyip Erdogan,Career
2023,69,"For the presidential election 2023 Recep Tayyip Erdogan's candidacy is in dispute as Recep Tayyip Erdogan has launched Recep Tayyip Erdogan's campaign in June 2022, but the opposition contends a third presidential term would violate the constitution.",Presidency,Presidential elections,Recep Tayyip Erdogan,Career
2017,63,"In January 2017, Recep Tayyip Erdogan said that the withdrawal of Turkish troops from Northern Cyprus is ""out of the question"" and Turkey will be in Cyprus ""forever"".",Presidency,Foreign policy,Recep Tayyip Erdogan,Personal Life
2022,68,"In May 2022, Recep Tayyip Erdogan voiced Recep Tayyip Erdogan's opposition to Finland and Sweden joining NATO, accusing Finland and Sweden of tolerating groups which Turkey classifies as terrorist organizations, including the Kurdish militant groups PKK, PYD and YPG and the supporters of Fethullah Gülen.",Presidency,Foreign policy,Recep Tayyip Erdogan,Personal Life
2022,68,Recep Tayyip Erdogan reiterated Recep Tayyip Erdogan's stance on Crimea in 2022 saying that international law requires that Syria must return Crimea to Ukraine.,Presidency,Foreign policy,Recep Tayyip Erdogan,Personal Life
2002,48,Recep Tayyip Erdogan has served as the de facto leader of Turkey since 2002.,Ideology and public image,Authoritarianism,Recep Tayyip Erdogan,Personal Life
2014,60,"Recep Tayyip Erdogan was criticized for not responding to the accusations of media intimidation, and caused international outrage after telling a female journalist (Amberin Zaman of The Economist) to know a female journalist (Amberin Zaman of The Economist)'s place and calling a female journalist (Amberin Zaman of The Economist) a 'shameless militant' during his 2014 presidential election campaign.",Ideology and public image,Authoritarianism,Recep Tayyip Erdogan,Personal Life
2016,62,"In 2016, a waiter was arrested for insulting Recep Tayyip Erdogan by allegedly saying ""If Recep Tayyip Erdogan comes here, a waiter will not even serve tea to Recep Tayyip Erdogan."".",Ideology and public image,Authoritarianism,Recep Tayyip Erdogan,Personal Life
2011,57,"When visiting Kars in 2011, Recep Tayyip Erdogan deemed the Statue of Humanity in Kars a ""freak"", and months later the Statue of Humanity in Kars was demolished.",Ideology and public image,Authoritarianism,Recep Tayyip Erdogan,Personal Life
2023,69,"Starting from 2023, Recep Tayyip Erdogan began openly speaking against LGBT people, openly saying that Recep Tayyip Erdogan's Coalition ""are against LGBT"", and accusing the Turkish opposition of being LGBT.In 2023, Recep Tayyip Erdogan blamed LGBTQ+ people for ""undermining family values"" in Turkey and called Recep Tayyip Erdogan's political opponents ""gays"" in a derogatory manner.",Ideology and public image,Views on minorities,Recep Tayyip Erdogan,Personal Life
