year,age,event,category1,category2,Name,Career/Personal Life
2019,31,"On the 2019 Sunday Times Rich List, Adele was valued at £150 million (US$180.5 million) as the 22nd-richest musician in the U despite not having toured since 2017.In 2012",Wealth,,Adele,Career
2016,28,"During Adele's Madison Square Garden tour in September 2016, Adele rented NBA player Deron Williams' Tribeca apartment for three weeks at a monthly rent of $60,000.",Wealth,,Adele,Career
2017,29,"On 15 June 2017, Adele attended a vigil in west London for the victims of the Grenfell Tower fire where, keeping a low profile, Adele was only spotted by a handful of fans.",Philanthropy,,Adele,Personal Life
2014,26,"In 2014, Adele was already being regarded as a British cultural icon, with young adults from abroad naming Adele among a group of people whom young adults from abroad most associated with UK culture, which included William Shakespeare, Queen Elizabeth II, David Beckham, J. K. Rowling, The Beatles, Charlie Chaplin and Elton John.",Impact,,Adele,Career
2022,34,"Adele has sold more than 170 million records worldwide with 70 million in album sales and over 100 million in single sales as of 2022, making Adele's one of the world's's best-selling music artists.",Accolades and achievements,,Adele,Career
2012,24,"In February 2012, Adele was listed at number five on VH1's 100 Greatest Women in Music.",Accolades and achievements,,Adele,Career
2012,24,"Adele topped the 2012 Sunday Times Rich List of musicians in the US under 30, and made the Top 10 of Billboard magazine's's ""Top 40 Money Makers"".",Accolades and achievements,,Adele,Career
2013,25,"In 2013, Adele won the Academy Award for Best Original Song for the James Bond theme ""Skyfall"".",Accolades and achievements,,Adele,Career
2018,30,"Adele was inducted into the Royal Albert Hall's Walk of Fame in 2018, making Adele's one of the first eleven recipients of a star on the Royal Albert Hall's Walk of Fame.",Accolades and achievements,,Adele,Career
2021,33,"In 2021, Adele was named the US's best-selling female album artist of the 21st century, based on Official Charts Company data.",Accolades and achievements,,Adele,Career
