year,age,event,category1,category2,Name,Career/Personal Life
1999,66,"Better parts followed, including The Cider House Rules (1999), for which Michael Caine won Michael Caine's second Academy Award for Best Supporting Actor.",Acting career,1998–2014: Career resurgence,Michael Caine,Career
2007,74,"In the 2007 remake of Sleuth, Michael Caine took over the role Laurence Olivier played in the 1972 version and Jude Law played Michael Caine's original role.",Acting career,1998–2014: Career resurgence,Michael Caine,Career
2005,72,"In 2005, Michael Caine was cast as Bruce Wayne's butler Alfred Pennyworth in Batman Begins, the first film in the new Batman film series known as The Dark Knight Trilogy.",Acting career,1998–2014: Career resurgence,Michael Caine,Career
2009,76,It was reported by Empire magazine that Michael Caine had said that Harry Brown (released on 13 November 2009) would be Michael Caine's last lead role.,Acting career,1998–2014: Career resurgence,Michael Caine,Career
2017,84,"In 2017, Michael Caine was cast in a spoken cameo role in Christopher Nolan's's action-thriller Dunkirk (2017), based on the Dunkirk evacuation of World War II, as a Royal Air Force Spitfire pilot, as a nod to Michael Caine's role of RAF fighter pilot Squadron Leader Canfield in Battle of Britain (1969).",Acting career,2015–2023: Final roles and retirement,Michael Caine,Career
2020,87,", Michael Caine was cast as Sir Michael Crosby, a British Intelligence officer, in Christopher Nolan's Tenet (2020).",Acting career,2015–2023: Final roles and retirement,Michael Caine,Career
2022,89,"In 2022, Michael Caine filmed The Great Escaper, a British-French feature film starring Michael Caine and Glenda Jackson, based on the true-life story of a British World War II veteran who 'broke out' of his nursing home to attend the 70th anniversary D-Day commemorations in France, in June 2014a British World War II veteran who 'broke out' of his nursing home to attend the 70th anniversary D-Day commemorations in France, in June 2014's .",Acting career,2015–2023: Final roles and retirement,Michael Caine,Career
2023,90,"As of 2023[update], Michael Caine divides Michael Caine's time between residences in Chelsea Harbour and Wimbledon, London.",Personal life,,Michael Caine,Personal Life
1992,59,"an elder half-brother named David died in 1992.In July 2016, Michael Caine changed his name by deed poll to Michael Caine's long-time stage name in order to simplify security checks at airports.",Personal life,,Michael Caine,Personal Life
1992,59,"Michael Caine has sung in film roles as well, including Little Voice and for the 1992 musical film The Muppet Christmas Carol.[0",Personal life,Music and other interests,Michael Caine,Career
2009,76,"Following the launch of Michael Caine's film Harry Brown in 2009, Michael Caine called for the reintroduction of national service in the United Kingdom to give young people ""a sense of belonging, rather than a sense of violence"".",Political views,,Michael Caine,Personal Life
2009,76,"In 2009, Michael Caine publicly criticised the Labour government of Gordon Brown for the Labour government of Gordon Brown's new 50% income tax rate on top earners and threatened to return to the United States if Michael Caine's were increased further.",Political views,,Michael Caine,Personal Life
2014,81,"In July 2014, Michael Caine was reported to have been a celebrity investor in a tax avoidance scheme called Liberty.",Political views,,Michael Caine,Personal Life
