year,age,event,category1,category2,Name
1961,32,"The same year, Audrey Hepburn also starred in William Wyler's drama The Children's Hour (1961), in which she and Shirley MacLaine played teachers whose lives become troubled after two pupils accuse them of being lesbiansteachers whose lives become troubled after two pupils accuse them of being lesbians .",Entertainment career,1961–1967: Breakfast at Tiffany's and continued success,Audrey Hepburn
1962,33,"Critic Bosley Crowther was less kind to her performance, stating that, ""Audrey Hepburn is cheerfully committed to a mood of how-nuts-can-you-be in an obviously comforting assortment of expensive Givenchy costumes.""Although filmed in the summer of 1962 before the comic thriller Charade (1963), Audrey Hepburn reunited with her Sabrina co-star William Holden in Paris When It Sizzles (1964), a screwball comedy in which Audrey Hepburn played the young assistant of a Hollywood screenwriter, who aids his writer's block by acting out his fantasies of possible plotsa Hollywood screenwriter, who aids his writer's block by acting out his fantasies of possible plots's a Hollywood screenwriter, who aids his writer's block by acting out his fantasies of possible plots's .",Entertainment career,1961–1967: Breakfast at Tiffany's and continued success,Audrey Hepburn
1993,64,"For the ""Flower Gardens"" episode, Audrey Hepburn was posthumously awarded the 1993 Emmy Award for Outstanding Individual Achievement – Informational Programming.",Entertainment career,1968–1993: Semi-retirement and final projects,Audrey Hepburn
1989,60,"In 1989, Audrey Hepburn was appointed a Goodwill Ambassador of UNICEF.",Humanitarian work,,Audrey Hepburn
1993,64,"On the evening of 20 January 1993, Audrey Hepburn died in Audrey Hepburn's sleep at her home in Tolochenaz, Vaud.",Personal life and final years,Illness and death,Audrey Hepburn
1991,62,Audrey Hepburn received a tribute from the Film Society of Lincoln Center in 1991 and was a frequent presenter at the Academy Awards.,Legacy,,Audrey Hepburn
1992,63,Audrey Hepburn received the BAFTA Lifetime Achievement Award in 1992.,Legacy,,Audrey Hepburn
2009,80,"In January 2009, Audrey Hepburn was named on The Times' list of the top 10 British actresses of all time.",Legacy,,Audrey Hepburn
2006,77,"In the United States, Audrey Hepburn was featured in a 2006 Gap commercial that used clips of Audrey Hepburn's dancing from Funny Face, set to AC/DC's ""Back in Black"", with the tagline ""It's Back – The Skinny Black Pant"".",Legacy,,Audrey Hepburn
1961,32,"Added to the International Best Dressed List in 1961, Audrey Hepburn was associated with a minimalistic style, usually wearing clothes with simple silhouettes that emphasised Audrey Hepburn's slim body, such as monochromatic colours with occasional statement accessories.",Legacy,Public image and style icon,Audrey Hepburn
1959,30,"Despite being admired for Audrey Hepburn's beauty, Audrey Hepburn never considered Audrey Hepburn attractive, stating in a 1959 interview that ""you can even say that Audrey Hepburn hated Audrey Hepburn at certain periods. Audrey Hepburn was too fat, or maybe too tall, or maybe just plain too ugly...",Legacy,Public image and style icon,Audrey Hepburn
1989,60,"In 1989, Audrey Hepburn stated that ""Audrey Hepburn's look is attainable ...",Legacy,Public image and style icon,Audrey Hepburn
2015,86,"For example, Audrey Hepburn was named the ""most beautiful woman of all time"" and ""most beautiful woman of the 20th century"" in polls by Evian and QVC respectively, and in 2015, was voted ""the most stylish Brit of all time"" in a poll commissioned by Samsung.",Legacy,Public image and style icon,Audrey Hepburn
