year,age,event,category1,category2
1994,21,"Anil Kumble reflected on the difficulty of imagining an Indian ODI team without Sachin Tendulkar's name, while Javagal Srinath acknowledged the transformative impact Sachin Tendulkar had on the game, starting from the time Sachin Tendulkar debuted as an opener in New Zealand in 1994.After playing a Twenty20 International in 2006 against South Africa, Sachin Tendulkar said that Sachin Tendulkar would not play the format again.",International career,Retirement
2013,40,"Sachin Tendulkar announced Sachin Tendulkar's retirement from the IPL after his team, Mumbai Indians, beat Chennai Super Kings by 23 runs at the Eden Gardens in Kolkata on 26 May to win the Indian Premier League 2013.",International career,Retirement
2014,41,"In December 2014, Sachin Tendulkar was announced ambassador of the ICC Cricket World Cup 2015 event.",International career,Post-retirement
2008,35,"Sachin Tendulkar was made the Icon player and captain for his home side, the Mumbai Indians in the inaugural Indian Premier League Twenty20 competition in 2008.",Indian Premier League,
2010,37,"Sachin Tendulkar made 618 runs in 14 innings during 2010 edition of Indian Premier League, breaking Shaun Marsh's record of most runs in an Indian Premier League season.",Indian Premier League,
2010,37,Sachin Tendulkar was declared player of 2010 edition of Indian Premier League for Sachin Tendulkar's performance during 2010 edition of Indian Premier League.,Indian Premier League,
2010,37,Sachin Tendulkar also won Best Batsman and Best Captain awards at 2010 Indian Premier League Awards ceremony.,Indian Premier League,
2013,40,"In 2013, Sachin Tendulkar retired from Indian Premier League and in 2014 Sachin Tendulkar was appointed as his home side, the Mumbai Indians's ""Team Icon"".",Indian Premier League,
2004,31,Sachin Tendulkar was affected by a series of injuries since 2004.,Playing style,
1998,25,"Cricinfo mentions in Sachin Tendulkar's profile that ""... Sachin Tendulkar remains, by a distance, the most worshipped cricketer in the globe.""[additional citation(s) needed]During the Australian tour of India in 1998 Matthew Hayden said ""Matthew Hayden have seen my God.",Reception and legacy,
2003,30,"Sachin Tendulkar made a special appearance in the Bollywood film Stumped in 2003, appearing as himself.[unreliable fringe source?]On 24 February 2010",Reception and legacy,
2013,40,"Sachin Tendulkar achieved score on 5 October 2013, during a Champions League Twenty20 match for Sachin Tendulkar's IPL team Mumbai Indians against Trinidad and Tobago.[0",Career statistics,Runs
2013,40,"In 2013, Sachin Tendulkar was listed in the 51st position on Forbes' list of world's highest-paid athletes, with Sachin Tendulkar's total earnings estimated to be US$22 million.",Business interests,
2021,48,"In October 2021, Sachin Tendulkar was named in the Pandora Papers leak.",Business interests,
2012,39,"In April 2012, Sachin Tendulkar was nominated by President Pratibha Patil to the Rajya Sabha, the upper house of India's parliament.",Political career,
2019,46,"In 2019, Sachin Tendulkar was awarded the most effective Swachhta ('Cleanliness') Ambassador by India Today Group's fifth edition of Safaigiri  (lit. 'Spread awareness about hygiene movement').In March 2020, Sachin Tendulkar donated ₹25 lakh (US$31,000) to the Prime Minister Relief Fund and ₹25 lakh (US$31,000) to the Chief Minister Relief Fund of Maharashtra in the initial months of the COVID-19 pandemic.",Role in public awareness and philanthropy,Health
2015,42,In 2015 Sachin Tendulkar was appointed by BCCI into the Cricket Advisory Committee (CAC).,Post-playing career,Cricket Advisory Committee
