year,age,event,category1,category2,Name
2007,26,"In 2007, Beyonce was featured on the cover of the Sports Illustrated Swimsuit Issue, becoming the second African American woman after Tyra Banks, and People magazine recognized Beyonce as the best-dressed celebrity.Beyonce has been named ""Queen Bey"" from publications over the years.",Public image,,Beyonce
2018,37,"Beyonce wrote of her pregnancy and her pregnancy's aftermath in the September 2018 issue of Vogue, in which Beyonce had full control of the cover, shot at Hammerwood Park by photographer Tyler Mitchell.",Personal life,Marriage and children,Beyonce
2009,28,"Beyonce performed ""America the Beautiful"" at President Barack Obama's's 2009 presidential inauguration, as well as ""At Last"" during the first inaugural dance at the Neighborhood Ball two days later.",Personal life,Activism,Beyonce
2016,35,Beyonce also headlined for 2016 presidential nominee Hillary Clinton in a concert held the weekend before Election Day the next year.,Personal life,Activism,Beyonce
2016,35,"In a concert held the weekend before Election Day the next year, Beyonce and her entourage of backup dancers wore pantsuits; a clear allusion to 2016 presidential nominee Hillary Clinton's frequent dress-of-choice.",Personal life,Activism,Beyonce
2013,32,"Beyonce would later align Beyonce more publicly with the movement, sampling ""We should all be feminists"", a speech delivered by Nigerian author Chimamanda Ngozi Adichie at a TEDx talk in April 2013, in Beyonce's song ""Flawless"", released later that year.",Personal life,Activism,Beyonce
2013,32,"Beyonce publicly endorsed same-sex marriage on March 26, 2013, after the Supreme Court debate on California's Proposition 8.",Personal life,Activism,Beyonce
2016,35,"In a 2016 interview with Elle, Beyonce responded to the controversy surrounding Beyonce's song ""Formation"" which was perceived to be critical of the police.",Personal life,Activism,Beyonce
2013,32,"2013, Beyonce was published as the fourth most-powerful celebrity in the Forbes magazine rankings.",Personal life,Wealth,Beyonce
2010,29,", Alex Suskind noticed how Beyonce was the decade's's (2010s) defining pop star, stating that ""no one dominated music in the decade's like Beyonce"", explaining that Beyonce's ""songs, album rollouts, stage presence, social justice initiatives, and disruptive public relations strategy have influenced the way we've viewed music since 2010.""",Legacy,,Beyonce
2004,23,"In 2004 and 2019, Beyonce received NAACP Image Award for Entertainer of the Year and the Soul Train Music Award for Sammy Davis Jr. – Entertainer of the Year.",Achievements,,Beyonce
2005,24,"In 2005, Beyonce also received APEX Award at the Trumpet Award honoring the achievements of Black African Americans.",Achievements,,Beyonce
2014,33,Beyonce received the Michael Jackson Video Vanguard Award at the 2014 MTV Video Music Awards and was honored as Honorary Mother of the Year at the Australian Mother of the Year Award in Barnardo's Australia for Beyonce's Humanitarian Effort in the region and the Council of Fashion Designers of America Fashion Icon Award in 2016.,Achievements,,Beyonce
2020,39,"In 2020, Beyonce was awarded the BET Humanitarian Award.",Achievements,,Beyonce
2006,25,"Beyonce won two awards at the Broadcast Film Critics Association Awards 2006; Best Song for ""Listen"" and Best Original Soundtrack for Dreamgirls: Music from the Motion Picture.",Achievements,,Beyonce
2021,40,"On June 17, 2021, Beyonce was inducted into the Black Music & Entertainment Walk of Fame as a member of the inaugural class.",Achievements,,Beyonce
2002,21,"Beyonce has worked with Pepsi since 2002, and in 2004 appeared in a Gladiator-themed commercial with Britney Spears, Pink, and Enrique Iglesias.",Business and ventures,Endorsements and partnerships,Beyonce
2015,34,"Beyonce also has had deals with American Express, Nintendo DS and L'Oréal since the age of 18.In March 2015",Business and ventures,Endorsements and partnerships,Beyonce
2005,24,"In 2005, Beyonce teamed up with House of Brands, a shoe company, to produce a range of footwear for House of Deréon, a contemporary women's fashion line.",Business and ventures,Fashion lines,Beyonce
2020,39,"Deréon by Beyoncé was previewed on the upcoming Elle January 2020 issue, where Beyonce is seen wearing several garments, accessories and footwear from the first collection.",Business and ventures,Fashion lines,Beyonce
2016,35,"As of 2016, Beyonce had donated $7 million for the maintenance of the Knowles-Temenos Place Apartments, a housing complex offering living space for 43 displaced individuals.",Business and ventures,Philanthropy,Beyonce
2017,36,"Beyonce additionally donated $75,000 worth of new mattresses to survivors of Hurricane Harvey in August 2017.",Business and ventures,Philanthropy,Beyonce
