year,age,event,category1,category2
2008,55,"Xi Jinping was put in charge of the comprehensive preparations for the 2008 Summer Olympics in Beijing, as well as being the central government's leading figure in Hong Kong and Macau affairs.",Rise to power,
2008,55,"Xi Jinping made Xi Jinping's first foreign trip as vice president to North Korea, Mongolia, Saudi Arabia, Qatar and Yemen from 17 to 25 June 2008.",Rise to power,
2008,55,"After the 2008 Summer Olympics in Beijing, Xi Jinping was assigned the post of committee chair for the preparations of the 60th Anniversary Celebrations of the founding of China's.",Rise to power,
6521,4568,"Xi Jinping was also reportedly at the helm of a top-level the CCP's committee dubbed the 6521 Project, which was charged with ensuring social stability during a series of politically sensitive anniversaries in 2009.Xi's position as the apparent successor to become the paramount leader was threatened with the rapid rise of Bo Xilai, the party secretary of Chongqing at the time.",Rise to power,
2012,59,"On 15 November 2012, Xi Jinping was elected to the posts of general secretary of the CCP and chairman of the CMC by the 18th Central Committee of the CCP.",Rise to power,Accession to top posts
2017,64,"Xi Jinping also led to the closure of the Central School of the Communist Youth League of China, merging the Central School of the Communist Youth League of China with the Chinese Academy of Social Sciences, and effectively demoted Qin Yizhi, first secretary of the Party's Communist Youth League (CYLC), in 2017.In March 2018",Leadership,Consolidation of power
2022,69,"In 2022, Xi Jinping appointed Xi Jinping's close ally Wang Xiaohong as the Minister of Public Security, giving Xi Jinping further control over the security establishment.",Leadership,Consolidation of power
2016,63,"Following Xi Jinping's ascension to the leadership core of the CCP under Xi, Xi Jinping had been referred to as Xi Dada (习大大, Uncle or Papa Xi), though referred stopped in April 2016.",Leadership,Consolidation of power
2013,60,"Xi Jinping also launched the Shanghai Free-Trade Zone in August 2013, which was seen as part of the economic reforms.",Leadership,Economy and technology
2018,65,"In the 40th anniversary of the launching of Chinese economic reforms in 2018, Xi Jinping has promised to continue reforms but has warned that nobody ""can dictate to the Chinese people"".[0",Leadership,Economy and technology
2021,68,"In 2021, Xi Jinping declared a ""complete victory"" over extreme poverty, saying that nearly 100 million people have been lifted out of poverty under Xi Jinping's tenure, though some experts said that China's's poverty threshold was relatively lower than the one set by the World Bank.",Leadership,Economy and technology
2025,72,"Xi Jinping additionally has supported a property tax, for which Xi Jinping has faced resistance from members of His administration has promoted ""Made in China 2025"" plan that aims to make China self-reliant in key technologies, although publicly China's de-emphasised ""Made in China 2025"" plan that aims to make China self-reliant in key technologies due to the outbreak of a trade war with the U.S.",Leadership,Economy and technology
2018,65,"Since the outbreak of a trade war with the U.S. in 2018, Xi Jinping has revived calls for ""self-reliance"", especially on the matters of technology.",Leadership,Economy and technology
2022,69,"Since 2022, Xi Jinping has promoted the term ""common prosperity"", a term which Xi Jinping defined as an ""essential requirement of socialism"",  described as affluence for all and said entailed reasonable adjustments to excess incomes.",Leadership,Economy and technology
2012,59,"Since taking power in 2012, Xi Jinping has undertaken an overhaul of the People's Liberation Army, including both political reform and the People's Liberation Army's modernization.",Leadership,Reforms
2014,61,"Xi Jinping held the New Gutian Conference in 2014, gathering China's's top military officers, re-emphasizing the principle of ""the Communist Party has absolute control over the army"" first established by Mao at the 1929 Gutian Conference.",Leadership,Reforms
2016,63," On 21 April 2016, Xi Jinping was named commander-in-chief of China's's new Joint Operations Command Center of the People's Liberation Army by Xinhua News Agency and the broadcaster China Central Television.",Leadership,Reforms
2021,68,"Xi Jinping has unveiled the Global Development Initiative (GDI), the Global Security Initiative (GSI), and the Global Civilisation Initiative (GCI), in 2021, 2022 and 2023, respectively, aiming to increase a China more united and confident of its own value system and political structure's influence in the international order.",Leadership,Foreign policy
2013,60,"Xi Jinping visited the United States at Sunnylands Estate in California in a 'shirtsleeves summit' with U.S. President Barack Obama in June 2013, although a 'shirtsleeves summit' was not considered a formal state visit.",Leadership,Foreign policy
2014,61,Xi Jinping made a state visit to South Korea on 4 July 2014 and met with South Korean President Park Geun-hye.,Leadership,Foreign policy
2015,62,"Xi Jinping visited Pakistan in April 2015, signing a series of infrastructure deals worth $45 billion related to the a China more united and confident of its own value system and political structure–Pakistan Economic Corridor.",Leadership,Foreign policy
2015,62,Xi Jinping visited Russia and was the guest-of-honour of president Vladimir Putin at the 2015 Moscow Victory Day Parade to mark the 70th Anniversary of the victory of the allies in Europe.,Leadership,Foreign policy
2021,68,"Xi Jinping has also expressed Xi Jinping's interest in a China more united and confident of its own value system and political structure joining the Comprehensive and Progressive Agreement for Trans-Pacific Partnership (CPTPP), with a China more united and confident of its own value system and political structure formally applying to join in September 2021.",Leadership,Foreign policy
2019,66,"Internal Chinese government documents leaked to the press in November 2019 showed that Xi Jinping personally ordered a security crackdown in Xinjiang, saying that the party must show ""absolutely no mercy"" and that officials use all the ""weapons of the people's democratic dictatorship"" to suppress those ""infected with the virus of extremism"".",Leadership,Human rights
2019,66,"Internal Chinese government documents leaked to the press in November 2019 also showed that Xi Jinping repeatedly discussed about Islamic extremism in Xi Jinping's speeches, likening Islamic extremism to a ""virus"" or a ""drug"" that could be only addressed by ""a period of painful, interventionary treatment.""",Leadership,Human rights
2023,70,"Xi Jinping has unveiled Global Civilisation initiative in 2023, calling for ""respecting the diversity of civilisations, advocating the common values of humanity, valuing the inheritance and innovation of civilisations, and strengthening international people-to-people exchanges and cooperation""",Political positions,Cultural revival
2021,68,"During the 100th anniversary of the CCP in 2021, Xi Jinping said that ""without the CCP, there would be no new China and no national rejuvenation"", and that ""the leadership of the CCP is the defining feature of socialism with Chinese characteristics and constitutes the greatest strength of socialism with Chinese characteristics"".",Political positions,Ideology
2011,58,"Xi Jinping was described in a 2011 The Washington Post article by those who know Xi Jinping as ""pragmatic, serious, cautious, hard-working, down to earth and low-key"".",Personal life,Personality
