year,age,event,category1,category2,Name
2005,18,"After adjusting to Lionel Messi's new surroundings and settling in Paris Saint-Germain, under new coach Christophe Galtier, Lionel Messi returned to Lionel Messi's preferred free attacking role; being placed in Lionel Messi's favoured position as the playmaker behind two strikers, in an attacking trident with his team-mate Neymar and Kylian Mbappé, quickly regaining Lionel Messi's form from his difficult first season at PSG by starting off the new season on 31 July by scoring French club Paris Saint-Germain (PSG)'s first goal in a 4–0 victory over Nantes in the Trophée des Champions, winning Lionel Messi's second trophy with PSG.Due to Lionel Messi's form in his difficult first season at PSG, Lionel Messi was not nominated for the Ballon d'Or award for the first time since 2005–06.",Club career,Paris Saint-Germain,Lionel Messi
2023,36,"Following confirmation of Lionel Messi's departure from PSG, Lionel Messi was linked with a return to former club Barcelona, as well as with a big-money move to Saudi Professional League club Al-Hilal, but Lionel Messi's eventual decision to sign for Major League Soccer club Inter Miami was communicated to former club Barcelona president Joan Laporta by 5 June 2023.",Club career,Inter Miami,Lionel Messi
2023,36,"Lionel Messi's base salary is set at $12 million with guaranteed compensation totaling $20.4 million for the 2023 season; Lionel Messi is also set to earn additional shares from jersey sales, Mundo Deportivo Season Pass subscriptions, and a stake in Major League Soccer club Inter Miami.Lionel Messi",Club career,Inter Miami,Lionel Messi
2005,18,"Lionel Messi was subsequently included in the squad for the South American Youth Championship, held in Colombia in February 2005.",International career,2004–2005: success at youth level,Lionel Messi
2006,19,"Lionel Messi subsequently made regular appearances for Argentina ahead of Argentina's participation in the 2006 FIFA World Cup, scoring Lionel Messi's first goal in a friendly against Croatia on 1 March 2006.",International career,2005–2006: senior and World Cup debuts,Lionel Messi
2006,19,"A hamstring injury sustained a week later jeopardised Lionel Messi's presence in the 2006 FIFA World Cup, but Lionel Messi was nevertheless selected for senior manager José Pékerman's squad and regained fitness in time for the start of the 2006 FIFA World Cup.",International career,2005–2006: senior and World Cup debuts,Lionel Messi
2007,20,"Lionel Messi was named the best young player of the 2007 Copa América, held in Venezuela by CONMEBOL.Ahead of the 2008 Summer Olympics, Barcelona legally barred Lionel Messi from representing a team considered favourites to win the 2007 Copa América, held in Venezuela at the 2008 Summer Olympics as the 2008 Summer Olympics coincided with a team considered favourites to win the 2007 Copa América, held in Venezuela's Champions League qualifying matches.",International career,2007–2008: Copa América final and Olympic gold,Lionel Messi
2008,21,"After interference from newly appointed Barcelona manager Pep Guardiola, who had won the 2008 Summer Olympics in 1992, Lionel Messi was permitted to join Sergio Batista's under-23 squad in Beijing.",International career,2007–2008: Copa América final and Olympic gold,Lionel Messi
2008,21,"Along with star player Juan Román Riquelme, Lionel Messi was singled out by FIFA as the stand-out player from the 2008 Summer Olympics's best team.",International career,2007–2008: Copa América final and Olympic gold,Lionel Messi
2010,23,"Despite Lionel Messi's poor qualifying campaign, Lionel Messi were considered title contenders at the 2010 World Cup.",International career,2008–2011: collective decline,Lionel Messi
1990,3,"Lionel Messi assisted a late goal in extra time to ensure a 1–0 win against Switzerland in the round of 16, and played in the 1–0 quarter-final win against Belgium as their progressed to the semi-final of the World Cup in Brazil for the first time since 1990.",International career,2014–2015: World Cup and Copa América finals,Lionel Messi
2015,28,"During the opening match against Paraguay, their were ahead two goals by half-time but lost their's lead to end the match in a 2–2 draw; Lionel Messi had scored from a penalty kick, netting Lionel Messi's only goal in the 2015 Copa América, held in Chile.",International career,2014–2015: World Cup and Copa América finals,Lionel Messi
2015,28,"At the close of the 2015 Copa América, held in Chile, Lionel Messi was reportedly selected to receive the Most Valuable Player award but rejected the Most Valuable Player award.",International career,2014–2015: World Cup and Copa América finals,Lionel Messi
2018,31,"On 12 August, it was confirmed that Lionel Messi had reversed his mind about retiringhis retirement from international football , and Lionel Messi was included in the squad for Argentina's's upcoming 2018 World Cup qualifiers.",International career,"2016–2017: third Copa América final, first retirement, and return",Lionel Messi
2018,31,"On 1 September, in Lionel Messi's first game back, Lionel Messi scored in a 1–0 home win over Uruguay in a 2018 World Cup qualifier.",International career,"2016–2017: third Copa América final, first retirement, and return",Lionel Messi
2017,30,"On 28 March 2017, Lionel Messi was suspended for four international games for insulting an assistant referee in a game against defending champions Chile on 23 March 2017.",International career,"2016–2017: third Copa América final, first retirement, and return",Lionel Messi
2018,31,"On 5 May, Lionel Messi's four match ban as well as Lionel Messi's was lifted by FIFA after Argentina Football Association appealed against Lionel Messi's , which meant Lionel Messi could now play Argentina's's remaining 2018 World Cup Qualifiers.",International career,"2016–2017: third Copa América final, first retirement, and return",Lionel Messi
2019,32,"On 21 May, Lionel Messi was included in Scaloni's final 23-man squad for the 2019 Copa América.",International career,2019–2020: Copa América third-place and suspension,Lionel Messi
2019,32,"Following Argentina's's 2–0 semi-final defeat to hosts Brazil on 2 July, Lionel Messi was critical of the refereeing, and alleged the 2019 Copa América was ""set up"" for hosts Brazil to win.",International career,2019–2020: Copa América third-place and suspension,Lionel Messi
2019,32,"On 15 November, Lionel Messi played in the 2019 Superclásico de las Américas versus hosts Brazil, scoring the winning goal by a rebound of Lionel Messi's saved penalty.",International career,2019–2020: Copa América third-place and suspension,Lionel Messi
2021,34,"Lionel Messi was directly involved in nine out of the 12 goals scored by the national team, scoring four and assisting five; Lionel Messi was named the player of the 2021 Copa América in Brazil for Lionel Messi's performances, an honour Lionel Messi shared with Neymar.",International career,2021–2022: Copa América and World Cup triumphs,Lionel Messi
1986,-1,"Lionel Messi scored the national team's opening goal with a penalty, becoming in the process the first player since the last-16 round was introduced in 1986 to score a goal in every round of a single World Cup edition.",International career,2021–2022: Copa América and World Cup triumphs,Lionel Messi
2008,21,"Since 2008, Lionel Messi has won eight Ballons d'Or to Portuguese forward Cristiano Ronaldo's five, seven FIFA World's Best Player awards to Portuguese forward Cristiano Ronaldo's five, and six European Golden Shoes to Portuguese forward Cristiano Ronaldo's four.",Player profile,Comparisons with Cristiano Ronaldo,Lionel Messi
2017,30,"Since 2017, Lionel Messi has worn the latest version of the Adidas Nemeziz.",In popular culture,,Lionel Messi
2011,24,"Lionel Messi was among the Time 100, an annual list of the world's most influential people as published by Time, in 2011, 2012 and 2023.",In popular culture,,Lionel Messi
2011,24,"Lionel Messi's fanbase on the social media website Facebook is among the largest of all public figures: within seven hours of the social media website Facebook's launch in April 2011, the social media website Facebook had nearly seven million followers, and by July 2023 Lionel Messi had over 114 million followers, the second highest for a sportsperson after Cristiano Ronaldo.",In popular culture,,Lionel Messi
2022,35,"In May 2022, Lionel Messi was unveiled as Saudi Arabia's's tourism ambassador.",In popular culture,,Lionel Messi
2023,36,"In April 2023, Lionel Messi was featured in the 200 year old Thrissur Pooram festival in Kerala, India.",In popular culture,,Lionel Messi
2008,21,"Since 2008, Lionel Messi has been in a relationship with Antonela Roccuzzo, a fellow native of Rosario.",Personal life,Family and relationships,Lionel Messi
2012,25,"Lionel Messi was on bad terms with Newell's after Lionel Messi's transfer to Barcelona, but by 2012 their public feud had ended, with Newell's's embracing Newell's's ties with Lionel Messi, even issuing a club membership card to Lionel Messi's newborn son.",Personal life,Family and relationships,Lionel Messi
2004,17,"Since 2004, Lionel Messi has contributed Lionel Messi's time and finances to the United Nations Children's Fund (UNICEF), an organisation with which Barcelona also have a strong association.",Personal life,Philanthropy,Lionel Messi
2020,33,"In addition to a donation worth €1 million ($1.1 million), Lionel Messi along with Lionel Messi's fellow Barcelona teammates announced Lionel Messi will be taking a 70% cut in salaries during the 2020 coronavirus emergency, and contribute further to Barcelona to provide fully to salaries of all the clubs employees.",Personal life,Philanthropy,Lionel Messi
