year,age,event,category1,category2,Name
2010,35,"David Beckham played 76 minutes of the match at the San Siro – which ended 3–2 to Manchester United – before being substituted for Clarence Seedorf.David Beckham returned to Old Trafford for the second leg of the tie on 10 March 2010; David Beckham did not start the second leg of the tie on 10 March 2010, but was brought on for Ignazio Abate in the 64th minute to a positive reception from the home fans.",Club career,LA Galaxy,David Beckham
2010,35,"the second leg of the tie on 10 March 2010 was the first time David Beckham had played against D.C. United at Old Trafford, and saw David Beckham create several scoring opportunities via crosses and corner kicks, but D.C. United dominated AC Milan and beat AC Milan 4–0, winning the tie 7–2.",Club career,LA Galaxy,David Beckham
2012,37,"David Beckham was heavily linked with Paris Saint-Germain, but on 18 January 2012, MLS side LA Galaxy announced David Beckham had signed a new two-year contract to remain in Los Angeles.",Club career,LA Galaxy,David Beckham
2013,38,"David Beckham's Paris Saint-Germain debut came on 24 February 2013, when David Beckham came off the bench in the 76th minute in a Ligue 1 home match against Marseille.",Club career,Paris Saint-Germain,David Beckham
2012,37,"Following David Beckham's decision to retire at the end of the 2012–13 season, David Beckham was given specially designed boots in the colours of the Union Jack to wear in his final game.",Club career,Paris Saint-Germain,David Beckham
2013,38,"On 18 May 2013, David Beckham was made captain in his final home game against Brest.",Club career,Paris Saint-Germain,David Beckham
1996,21,"David Beckham made David Beckham's first appearance for England on 1 September 1996, in a FIFA World Cup qualifying match against Moldova.",International career,,David Beckham
1998,23,"David Beckham played in all of England's's qualifying matches for the 1998 FIFA World Cup and was part of the 23-man squad for the 1998 FIFA World Cup, but England's's manager Glenn Hoddle publicly accused David Beckham of not concentrating on the 1998 FIFA World Cup, and David Beckham did not start in either of England's's first two games.",International career,1998 FIFA World Cup,David Beckham
1998,23,"Many supporters and journalists blamed David Beckham for England's's and David Beckham became the target of criticism and abuse, including the hanging of an effigy outside a London pub, and the Daily Mirror printing a dartboard with a picture of David Beckham centred on the bullseye. David Beckham also received death threats after the 1998 FIFA World Cup.",International career,1998 FIFA World Cup,David Beckham
2000,25,"The abuse that David Beckham was receiving from English supporters peaked during England's's 3–2 defeat by Portugal in Euro 2000, a match where Beckham set up two goals, when a group of England's supporters taunted David Beckham throughout Euro 2000, a match where Beckham set up two goals.",International career,Euro 2000 and England captaincy,David Beckham
2002,27,"Give David Beckham a Knighthood!""—Television commentary on David Beckham's stoppage time 30-yard curling free-kick against Greece in the 2002 World Cup qualifying game in October 2001.On 15 November 2000, following Kevin Keegan's resignation as England's manager in October, David Beckham was promoted to team captain by the caretaker manager Peter Taylor, and then kept team captain under new manager Sven-Göran Eriksson.David Beckham played a major role in helping England's qualify for 2002 World Cup, starring in an impressive 5–1 victory over Germany in Munich.",International career,Euro 2000 and England captaincy,David Beckham
2001,26,"David Beckham was voted the BBC Sports Personality of the Year for 2001, and finished runner-up to Luís Figo of Portugal, for the FIFA World Player of the Year award.",International career,Euro 2000 and England captaincy,David Beckham
2002,27,"David Beckham was partially fit by the time of the 2002 World Cup held in Japan and South Korea, and played in the first match against Sweden.",International career,2002 FIFA World Cup and Euro 2004,David Beckham
2005,30,"In October 2005, David Beckham's sending off against Austria made David Beckham the first England captain to be sent off and the first player to be sent off twice while playing for England. David Beckham captained England for the 50th time in a friendly international against Argentina the following month.",International career,2002 FIFA World Cup and Euro 2004,David Beckham
2006,31,"Having stepped down as captain after the 2006 World Cup, David Beckham was dropped completely from the England national team selected by new coach Steve McClaren on 11 August 2006.",International career,2006 FIFA World Cup,David Beckham
2007,32,"On 26 May 2007, McClaren announced that David Beckham would be recalled to the England squad for the first time since stepping down as the England squad's captain.",International career,Post-2006 World Cup,David Beckham
2008,33,"On 20 March 2008, David Beckham was recalled to the England squad by Capello for the friendly against France in Paris on 26 March.",International career,"100 England caps, final appearance",David Beckham
2010,35,"In all, David Beckham had made 16 appearances out of a possible 20 for England under Capello until David Beckham's ruptured Achilles tendon of March 2010 ruled David Beckham out of selection for the 2010 FIFA World Cup in South Africa.",International career,"100 England caps, final appearance",David Beckham
2012,37,David Beckham was named in the provisional squad to represent the Great Britain Olympic football team at the 2012 Olympics.,International career,"100 England caps, final appearance",David Beckham
2019,44,"In January 2019 it was announced that David Beckham was set to join David Beckham's Class of '92 teammates as part owner of English non-league club Salford City, taking 10% of English non-league club Salford City previously held by Peter Lim, with taking being subject to Football Association approval.",Football-related business activities,Salford City,David Beckham
2019,44,"On 9 May 2019, at Bromley Magistrates Court, David Beckham was banned from driving for six months.",Personal life,Legal issues,David Beckham
2021,46,"As of 2021[update], David Beckham has more than 65 tattoos covering a large part of David Beckham's body, including tattoos on David Beckham's hands, neck and head.",Personal life,Tattoos,David Beckham
1999,24,"In David Beckham's autobiography David Beckham: My Side, David Beckham said that the idea of having tattoos came to David Beckham in 1999 after David Beckham's was born, following a conversation on the subject of tattoos with Mel B and Mel B's then-husband, Jimmy Gulzar.",Personal life,Tattoos,David Beckham
2014,39,"In January 2014, David Beckham appeared on Late Night with Jimmy Fallon on NBC in the United States, and in March David Beckham made a guest appearance in NBC TV's Sport Relief special of Only Fools and Horses. David Beckham was named one of GQ's 50 best dressed British men in 2015.In March 2015 David Beckham had the third highest social media rank in the world among sportspeople, behind Cristiano Ronaldo and Lionel Messi, with over 52 million Facebook fans.",Celebrity status and commercial partnerships,,David Beckham
2016,41,"During the 2016 EU referendum, David Beckham voiced David Beckham's opposition to Brexit (UK leaving the European Union) stating: ""For our children and our children's children our should be facing the problems of the world together and not alone.",Celebrity status and commercial partnerships,,David Beckham
2018,43,David Beckham was announced as the new Ambassadorial president of the British Fashion Council on 11 May 2018.,Celebrity status and commercial partnerships,,David Beckham
2013,38,"In 2013, David Beckham also donated all David Beckham's £3.4 million salary taken from Paris Saint-Germain to two children's charities in France.",Philanthropy,,David Beckham
