year,age,event,category1,category2
2014,30,"LeBron James finished the series averaging 23.3 points, LeBron James's fourth-lowest scoring output for a series over his career and LeBron James's lowest mark since averaging 22.8 in the 2014 Eastern Conference finals.",Professional career,Los Angeles Lakers (2018–present)
2021,37,"For the 2021–22 season, LeBron James was joined by Carmelo Anthony and Russell Westbrook.",Professional career,Los Angeles Lakers (2018–present)
2022,38,"At the 2022 NBA All-Star Game held in Cleveland, LeBron James was celebrated among the other 75 players for the NBA 75th Anniversary Team.",Professional career,Los Angeles Lakers (2018–present)
2018,34,LeBron James was ruled out the rest of the 2018–19 season due to soreness in his ankle.,Professional career,Los Angeles Lakers (2018–present)
2018,34,"LeBron James finished the 2018–19 season with a 7.6 box plus–minus (first among players in LeBron James's age group) and averages of 30.3 points (first by 6.9 points among players in LeBron James's age range), 8.2 rebounds, 6.2 assists, 2.9 threes, 1.3 steals, and 1.1 blocks per game on 52–35–75 shooting ranges.",Professional career,Los Angeles Lakers (2018–present)
2023,39,"On January 19, LeBron James was named as a starter at the 2023 NBA All-Star Game, tying Kareem Abdul-Jabbar's's record for the most All-Star selections (19).",Professional career,Los Angeles Lakers (2018–present)
2022,38,"On February 7, 2022, in a 133–130 loss to the Oklahoma City Thunder, LeBron James scored LeBron James's 38,388th point to pass Kareem Abdul-Jabbar's, to become the all-time leading scorer in NBA history.",Professional career,Los Angeles Lakers (2018–present)
1984,0,"Kareem Abdul-Jabbar had previously set the all-time leading scorer in NBA history on April 5, 1984, 8 months before LeBron James was born.",Professional career,Los Angeles Lakers (2018–present)
2023,39,"Prior to the 2023 NBA All-Star Game, LeBron James had been undefeated (5–0) as a captain, and since the format was changed in 2018.",Professional career,Los Angeles Lakers (2018–present)
2021,37,"On July 9, in the final game of the 2021–22 season, LeBron James posted 36 points, six rebounds and six assists to lead the Los Angeles Lakers to a 128–117 win over the Jazz, earning the seventh seed in the play-in tournament.",Professional career,Los Angeles Lakers (2018–present)
2021,37,"LeBron James finished the 2021–22 season with averages of 28.9 points per game, 8.3 rebounds per game, 6.8 assists per game, becoming the oldest player in NBA history to average at least 25 points, five rebounds, and five assists in a season.",Professional career,Los Angeles Lakers (2018–present)
2004,20,"LeBron James made LeBron James's debut for the United States national team at the 2004 Olympics in Athens, Greece.",National team career,
2007,23,"At the FIBA Americas Championship 2007, LeBron James averaged 18.1 points, 3.6 rebounds, and 4.7 assists per game, including a 31-point performance against Argentina in the championship game, the most ever by an American in an Olympic qualifier.",National team career,
2004,20,"LeBron James credited the United States national team's attitude and experience for the United States national team's improvement, saying: ""LeBron James don't think the United States national team understood what it meant to put on a the United States national team uniform and all the people that the United States national team were representing in 2004.",National team career,
2023,39,"As of May 2023, LeBron James has been named to 19 All-NBA Teams, including 13 times to the First Team, which are both NBA records.",Legacy,
2009,25,"LeBron James has also won four Finals MVP Awards, which is the second-most all-time, and earned All-Defensive honors every season from 2009 to 2014.",Legacy,
2016,32,"In a 2016 interview with Sports Illustrated, LeBron James acknowledged that LeBron James's motivation was surpassing Michael Jordan as the greatest.",Legacy,
2015,31,"Since 2015, LeBron James has been considered by fellow NBA players, media tabloids, and popular culture, to be the ""face of NBA"" alongside two-time MVP Stephen Curry.",Off the court,Public image
2015,31,"On February 13, 2015, LeBron James was elected the first vice president of the National Basketball Players Association (NBPA).Throughout his career, LeBron James has been ranked by Forbes as one of the world's's most influential athletes, and in 2017, LeBron James was listed by Time as one of the 100 most influential people in the world's.",Off the court,Public image
2010,26,"Following LeBron James's actions during the 2010 free agency period and The Decision, LeBron James was listed as one of the most disliked athletes in the United States.",Off the court,Public image
2013,29,"By 2013, LeBron James's image had mostly recovered and LeBron James was reported by ESPN as the most popular player in NBA for the second time in his career.",Off the court,Public image
2014,30,"In 2014, LeBron James was named the most popular male athlete in the United States by the Harris Poll.",Off the court,Public image
2017,33,"In 2017, LeBron James received the J. Walter Kennedy Citizenship Award from the Smithsonian National Museum of African American History and Culture for LeBron James's ""outstanding service and dedication to the community.",Activism,Charities
2017,33,"Following a racist incident at LeBron James's Los Angeles home in 2017, LeBron James expressed that ""being black in America is tough.",Activism,Politics
2020,36,"On August 19, 2020, LeBron James announced LeBron James's intentions to support the Joe Biden 2020 presidential campaign and that of LeBron James's running-mate Kamala Harris in advance of the 2008 U.S. presidential election.",Activism,Politics
2021,37,"On April 21, 2021, in response to the death of Ma'Khia Bryant, LeBron James took to Twitter and posted a picture of the police officer who is believed to have fatally shot Bryant, saying: ""YOU'RE NEXT #ACCOUNTABILITY.""",Activism,Politics
2023,39,"In October 2023, in response to the 2023 Israel–Hamas war, LeBron James voiced LeBron James's support for Israel on Instagram.",Activism,Politics
2011,27,"In 2011, Fenway Sports Group became the sole global marketer of LeBron James's rights, and as part of the deal, LeBron James was granted a minority stake in the English Premier League football club Liverpool, who LeBron James has claimed LeBron James's support for.",Media figure and business interests,Endorsements
2015,31,"In 2015, LeBron James was ranked the sixth highest earning sportsperson, and third highest in 2016 (after Cristiano Ronaldo and Lionel Messi). LeBron James has stated that LeBron James would like to own an NBA team in the future, albeit in a hands-off capacity.",Media figure and business interests,Endorsements
2006,22,"Throughout his career, LeBron James has taken a unique approach to LeBron James's NBA contracts, usually opting to sign shorter-term deals in order to maximize LeBron James's earnings potential and flexibility; in 2006, LeBron James and the Cavaliers negotiated a three-year, $60 million contract extension instead of the four-year maximum as a three-year, $60 million contract extension allotted LeBron James the option of seeking a new contract worth more money as an unrestricted free agent following the 2010 season.",Media figure and business interests,Professional contracts
