year,age,event,category1,category2,Name
1961,36,In October 1961 Margaret Thatcher was promoted to the frontbench as Parliamentary Secretary to the Ministry for Pensions by Harold Macmillan.,Early political career,Member of Parliament (1959–1970),Margaret Thatcher
1970,45,"Before the 1970 general election, Margaret Thatcher was promoted to shadow transport spokeswoman and later to education.",Early political career,Member of Parliament (1959–1970),Margaret Thatcher
1969,44," Margaret Thatcher made Margaret Thatcher's first visit to the Soviet Union in the summer of 1969 as the Opposition transport spokeswoman, and in October, delivered a speech celebrating Margaret Thatcher's ten years in Parliament.",Early political career,Member of Parliament (1959–1970),Margaret Thatcher
1970,45,"The Conservative Party, led by Edward Heath, won the 1970 general election, and Margaret Thatcher was appointed to the Cabinet as Secretary of State for Education and Science.",Early political career,Education Secretary (1970–1974),Margaret Thatcher
1979,54,Margaret Thatcher became prime minister on 4 May 1979.,Prime Minister of the United Kingdom (1979–1990),,Margaret Thatcher
1977,52,"During the 1977 local elections, Margaret Thatcher commented: ""The Tory tide swamped the smaller parties – specifically the National Front [NF], which suffered a clear decline from last year.""",Prime Minister of the United Kingdom (1979–1990),Domestic affairs,Margaret Thatcher
1979,54,"In a July 1979 meeting with Foreign Secretary Lord Carrington and Home Secretary William Whitelaw, Margaret Thatcher objected to the number of Asian immigrants, in the context of limiting the total of Vietnamese boat people allowed to settle in the UK to fewer than 10,000 over two years.",Prime Minister of the United Kingdom (1979–1990),Domestic affairs,Margaret Thatcher
1990,65,"Shortly before Margaret Thatcher's resignation in 1990, Margaret Thatcher accepted the arguments for privatisation, which John Major, Lawson's successor as chancellor, implemented in 1994.The",Prime Minister of the United Kingdom (1979–1990),Domestic affairs,Margaret Thatcher
1989,64,"In December 1989, Margaret Thatcher was challenged for the leadership of the Conservative Party by the little-known backbench MP Sir Anthony Meyer.",Prime Minister of the United Kingdom (1979–1990),Challenges to leadership and resignation,Margaret Thatcher
1982,57,"Margaret Thatcher was chosen as the Woman of the Year in 1982 when the Falklands War began under Margaret Thatcher's command, resulting in the British victory.",Legacy,Political impact,Margaret Thatcher
2011,86,Margaret Thatcher was voted the fourth-greatest British prime minister of the twentieth century in a 2011 poll of 139 academics organised by MORI.,Legacy,Political impact,Margaret Thatcher
2016,91,"In a 2016 University of Leeds survey of 82 academics specialising in post-1945 British history and politics, Margaret Thatcher was voted the second-greatest British prime minister after the Second World War.",Legacy,Political impact,Margaret Thatcher
1982,57,"a West End stage revue titled Anyone for Denis? was followed by a 1982 TV special directed by Dick Clement, in which Margaret Thatcher was played by Angela Thorne.",Legacy,Cultural depictions,Margaret Thatcher
2002,77,Margaret Thatcher was portrayed by Patricia Hodge in Ian Curteis's long unproduced The Falklands Play (2002) and by Andrea Riseborough in the TV film The Long Walk to Finchley (2008).,Legacy,Cultural depictions,Margaret Thatcher
2009,84,"Margaret Thatcher is the protagonist in two films, played by Lindsay Duncan in Margaret (2009) and by Meryl Streep in The Iron Lady (2011), in which Margaret Thatcher is depicted as suffering from dementia or Alzheimer's disease.",Legacy,Cultural depictions,Margaret Thatcher
1995,70,"Subsequently, the College of Arms granted Margaret Thatcher's use of a personal coat of arms; Margaret Thatcher was allowed to revise a personal coat of arms on Margaret Thatcher's appointment as Lady of the Order of the Garter (LG) in 1995, the highest order of chivalry.","Titles, awards and honours",,Margaret Thatcher
1998,73,"In the US, Margaret Thatcher received the Ronald Reagan Freedom Award from the Reagan Presidential Foundation in 1998; Margaret Thatcher was designated a patron of the Heritage Foundation in 2006, where Margaret Thatcher established the Margaret Thatcher Center for Freedom.","Titles, awards and honours",,Margaret Thatcher
