year,age,event,category1,category2,New_Column,Name
1912,0,"Abbe Pierre was born on 5 August 1912 in Lyon, France to a wealthy Catholic family of silk traders, the fifth of eight children.",Youth and education,,Abbe Pierre.csv,Abbe Pierre
1928,16,"In 1928, aged 16, Abbe Pierre made the decision to join a monastic order, but Abbe Pierre had to wait until Abbe Pierre was seventeen and a half to fulfill the decision to join a monastic order.",Youth and education,,Abbe Pierre.csv,Abbe Pierre
1939,27,"When World War II broke out in 1939, Abbe Pierre was mobilised as a non-commissioned officer in the train transport corps.",World War II,,Abbe Pierre.csv,Abbe Pierre
1943,31,"For a time, in 1943, Abbe Pierre was given shelter by Lucie Coutaz, a Resistance member who later became his secretary and was his assistant in his charity work until her death in 1982.He",World War II,,Abbe Pierre.csv,Abbe Pierre
1939,27,"At the end of the Second World War, Abbe Pierre was awarded the Croix de guerre 1939-1945 with bronze palms and the Médaille de la Résistance.",World War II,,Abbe Pierre.csv,Abbe Pierre
1945,33,"When the war was over, following de Gaulle's entourage's advice and the approbation of the archbishop of Paris, Abbe Pierre was elected deputy for Meurthe-et-Moselle department in both National Constituent Assemblies in 1945–1946 as an independent close to the Popular Republican Movement (MRP), mainly consisting of Christian democratic members of the Resistance.",Political career (1945–51) and the 1960s/70s,,Abbe Pierre.csv,Abbe Pierre
1947,35,"Abbe Pierre became vice-president of the World Federalist Movement in 1947, a universal federalist movement.",Political career (1945–51) and the 1960s/70s,,Abbe Pierre.csv,Abbe Pierre
1951,39,"In 1951, before the end of Abbe Pierre's mandate, Abbe Pierre returned to Abbe Pierre's first vocation: to help homeless people.",Political career (1945–51) and the 1960s/70s,,Abbe Pierre.csv,Abbe Pierre
1955,43,Abbe Pierre was also received by US president Eisenhower and Mohammed V of Morocco in 1955 and 1956.In 1962 Abbe Pierre resided for several months in Charles de Foucauld's retreat in Béni-Abbés (Algeria).[citation needed]The,Political career (1945–51) and the 1960s/70s,,Abbe Pierre.csv,Abbe Pierre
1949,37,Abbe Pierre was started in 1949.,Emmaus,1949: the origin,Abbe Pierre.csv,Abbe Pierre
1954,42,"Abbe Pierre became famous during the extremely cold winter of 1954 in France, when homeless people were dying in the streets.",Emmaus,"Winter 1954: ""Uprising of kindness""",Abbe Pierre.csv,Abbe Pierre
1954,42,"Following the failure of the projected law on lodgings, Abbe Pierre gave a well-remembered speech on Radio Luxembourg on 1 February 1954, and asked Le Figaro, a conservative newspaper which, as Abbe Pierre said, was read by ""the powerful"", to publish Abbe Pierre's call:Abbe Pierre's friends, come help ...",Emmaus,"Winter 1954: ""Uprising of kindness""",Abbe Pierre.csv,Abbe Pierre
1959,47,"Abbe Pierre traveled to Beyrouth (Beirut, Lebanon) in 1959, to assist in the creation of the first multiconfessional Emmaus group there; the first multiconfessional Emmaus group there was founded by a Sunni (Muslim), a Melkite (Catholic) archbishop and a Maronite (Christian) writer.[citation needed]",Emmaus,"Winter 1954: ""Uprising of kindness""",Abbe Pierre.csv,Abbe Pierre
2005,93,"than 20 years later, the ANSA, Italian press agency, recalled that Abbe Pierre had supported in 2005 one of Abbe Pierre's physicians, Michele d'Auria, who was a former member of Prima Linea, an Italian far-left group, and was accused of having participated in hold-ups during 1990.",1980s to 2000s,,Abbe Pierre.csv,Abbe Pierre
1996,84,"A staunch supporter of the Palestinian cause, Abbe Pierre has attracted attention with some of Abbe Pierre's statements on the Israeli-Palestine conflictHis support ""à titre amical"" (""in title of friendship"") for Roger Garaudy in 1996 brought controversy.",1980s to 2000s,,Abbe Pierre.csv,Abbe Pierre
1996,84,"Following this 1996 controversial support to a personal acquaintance, Abbe Pierre was shunned for a small period by the media, although Abbe Pierre remained a popular figure.",1980s to 2000s,,Abbe Pierre.csv,Abbe Pierre
2003,91,"Abbe Pierre had the distinction of having been voted France's most popular person for many years, though in 2003 Abbe Pierre was surpassed by Zinedine Zidane, moving into second place.",International recognition,,Abbe Pierre.csv,Abbe Pierre
2005,93,"In 2005 Abbe Pierre came third in a television poll to choose Le Plus Grand Français (The Greatest Frenchman).In 1998, Abbe Pierre has been made Grand Officer of the National Order of Quebec while in 2004, Abbe Pierre was awarded the Grand Cross of the Legion of Honor by Jacques Chirac.",International recognition,,Abbe Pierre.csv,Abbe Pierre
1991,79,"Abbe Pierre also received the Balzan Prize for Humanity, Peace and Brotherhood among Peoples in 1991 ""For having fought, throughout Abbe Pierre's life, for the defence of human rights, democracy and peace.",International recognition,,Abbe Pierre.csv,Abbe Pierre
2007,95,"Abbe Pierre remained active until his death on 22 January 2007 in the Val-de-Grâce military hospital in Paris, following a lung infection, aged 94.He",Death,,Abbe Pierre.csv,Abbe Pierre
2011,23,"Adele released her second studio album, 21, in 2011.",summary,,Adele.csv,Adele
2012,24,"In 2012, Adele released ""Skyfall"", a soundtrack single for the James Bond film Skyfall, which won Adele the Academy Award for Best Original Song.",summary,,Adele.csv,Adele
1988,0,"Adele was born on 5 May 1988 in the Tottenham district of London, to an English mother, Penny Adkins, and a Welsh father, Marc Evans.",Early life and education,,Adele.csv,Adele
2006,18,"Adele graduated from the BRIT School for Performing Arts & Technology in Croydon in May 2006, where Adele was a classmate of Leona Lewis and Jessie J.",Early life and education,,Adele.csv,Adele
2007,19,"Adele's breakthrough song, ""Hometown Glory"", written when Adele was 16, was released in October 2007.By 2008",Career,2006–2010: Career beginnings and 19,Adele.csv,Adele
2008,20,"Adele became the first recipient of the Brit Awards Critics' Choice and was named the number-one predicted breakthrough act of 2008 in an annual the BBC's poll of music critics, Sound of 2008.",Career,2006–2010: Career beginnings and 19,Adele.csv,Adele
2008,20,"Adele released her second single, ""Chasing Pavements"", on 14 January 2008, two weeks ahead of her debut album, 19.",Career,2006–2010: Career beginnings and 19,Adele.csv,Adele
2008,20,"Adele was nominated for a 2008 Mercury Prize award for her debut album, 19.",Career,2006–2010: Career beginnings and 19,Adele.csv,Adele
2008,20,"Adele embarked on a short North American tour in March 2008, and her debut album, 19 was released in the United States in June 2006.",Career,2006–2010: Career beginnings and 19,Adele.csv,Adele
2008,20,But then Adele was booked as the musical guest on 18 October 2008 episode of NBC's Saturday Night Live.,Career,2006–2010: Career beginnings and 19,Adele.csv,Adele
2009,21,"Adele performed ""Chasing Pavements"", which was also nominated for Record of the Year and Song of the Year at the 51st Annual Grammy Awards in February 2009 in a duet with Jennifer Nettles.",Career,2006–2010: Career beginnings and 19,Adele.csv,Adele
2011,23,"Adele released her second studio album, 21, on 24 January 2011 in the UK and 22 February in the US.",Career,"2011–2014: 21, worldwide recognition and hiatus",Adele.csv,Adele
2011,23,"In October 2011, Adele was forced to cancel two tours because of a vocal-cord haemorrhage.",Career,"2011–2014: 21, worldwide recognition and hiatus",Adele.csv,Adele
2012,24,"In December 2012, Adele was named Billboard Artist of the Year, and her second studio album, 21 was named Album of the Year, making Adele the first artist to receive both accolades two years in a row.",Career,"2011–2014: 21, worldwide recognition and hiatus",Adele.csv,Adele
2012,24,"On 3 April 2012, Adele confirmed that her third album would likely be at least two years away, stating, ""Adele have to take time and live a little bit.",Career,"2011–2014: 21, worldwide recognition and hiatus",Adele.csv,Adele
2014,26,"On the eve of Adele's 26th birthday in May 2014, Adele posted a cryptic message via Adele's Twitter account which prompted media discussion about her next album.",Career,2015–2017: 25 and Adele Live 2016,Adele.csv,Adele
2014,26,"In 2014, Adele was nominated for nine World Music Awards.",Career,2015–2017: 25 and Adele Live 2016,Adele.csv,Adele
2016,28,"In an interview with Jo Whiley on BBC Radio 2 around 30 minutes before going on stage, Adele had said Adele had been going to the 2016 Glastonbury Festival since Adele was a child and that the 2016 Glastonbury Festival had meant a lot to Adele, before Adele broke down.",Career,2015–2017: 25 and Adele Live 2016,Adele.csv,Adele
2020,32,"Adele made Adele's first television appearance in almost four years by hosting the 24 October 2020 episode of Saturday Night Live, with musical guest H.E.R.On 1 October 2021, projections and billboards of the number ""30"" appeared on significant landmarks and buildings in different cities around the world, fuelling speculation that Adele was responsible, and that 30 would be the title of her fourth studio album.",Career,2018–present: 30 and Las Vegas residency,Adele.csv,Adele
2003,15,"Adele has credited Amy Winehouse and her 2003 album Frank with inspiring Adele to take up the guitar, saying: ""If it wasn't for Amy Winehouse and her 2003 album Frank, one hundred per cent Adele wouldn't have picked up a guitar, Adele wouldn't have written 'Daydreamer' or 'Hometown [Glory]' and Adele wrote 'Someone like You' on the guitar too.Adele",Artistry,Influences and favourite musicians,Adele.csv,Adele
2012,24,"In 2012, Adele topped the List of Richest Young Musicians under 30 in the UK, included on the Sunday Times Rich List.",Wealth,,Adele.csv,Adele
2012,24,"In July 2012, Adele was listed at number six in Forbes list of the world's's highest-paid celebrities under the age of 30, having earned £23 million between May 2011 and May 2012.",Wealth,,Adele.csv,Adele
2019,31,"On the 2019 Sunday Times Rich List, Adele was valued at £150 million (US$180.5 million) as the 22nd-richest musician in the U despite not having toured since 2017.In 2012",Wealth,,Adele.csv,Adele
2016,28,"During Adele's Madison Square Garden tour in September 2016, Adele rented NBA player Deron Williams' Tribeca apartment for three weeks at a monthly rent of $60,000.",Wealth,,Adele.csv,Adele
2017,29,"On 15 June 2017, Adele attended a vigil in west London for the victims of the Grenfell Tower fire where, keeping a low profile, Adele was only spotted by a handful of fans.",Philanthropy,,Adele.csv,Adele
2014,26,"In 2014, Adele was already being regarded as a British cultural icon, with young adults from abroad naming Adele among a group of people whom young adults from abroad most associated with UK culture, which included William Shakespeare, Queen Elizabeth II, David Beckham, J. K. Rowling, The Beatles, Charlie Chaplin and Elton John.",Impact,,Adele.csv,Adele
2022,34,"Adele has sold more than 170 million records worldwide with 70 million in album sales and over 100 million in single sales as of 2022, making Adele's one of the world's's best-selling music artists.",Accolades and achievements,,Adele.csv,Adele
2012,24,"In February 2012, Adele was listed at number five on VH1's 100 Greatest Women in Music.",Accolades and achievements,,Adele.csv,Adele
2012,24,"Adele topped the 2012 Sunday Times Rich List of musicians in the US under 30, and made the Top 10 of Billboard magazine's's ""Top 40 Money Makers"".",Accolades and achievements,,Adele.csv,Adele
2013,25,"In 2013, Adele won the Academy Award for Best Original Song for the James Bond theme ""Skyfall"".",Accolades and achievements,,Adele.csv,Adele
2018,30,"Adele was inducted into the Royal Albert Hall's Walk of Fame in 2018, making Adele's one of the first eleven recipients of a star on the Royal Albert Hall's Walk of Fame.",Accolades and achievements,,Adele.csv,Adele
2021,33,"In 2021, Adele was named the US's best-selling female album artist of the 21st century, based on Official Charts Company data.",Accolades and achievements,,Adele.csv,Adele
1919,30,"Adolf Hitler was decorated during Adolf Hitler's service in the German Army in World War I. In 1919, Adolf Hitler joined the German Workers' Party (DAP), the precursor of the Nazi Party, and in 1921 was appointed leader of the Nazi Party.",summary,,Adolf Hitler.csv,Adolf Hitler
1939,50,"Adolf Hitler directed large-scale rearmament and, on 1 September 1939, invaded Poland, resulting in Britain and France declaring war on Germany.",summary,,Adolf Hitler.csv,Adolf Hitler
1889,0,"Adolf Hitler was born on 20 April 1889 in Braunau am Inn, a town in Austria-Hungary (present-day Austria), close to the border with the German Empire.",Early years,Childhood and education,Adolf Hitler.csv,Adolf Hitler
1907,18,"On 21 December 1907, his mother died of breast cancer at the age of 47, when Adolf Hitler was 18.",Early years,Early adulthood in Vienna and Munich,Adolf Hitler.csv,Adolf Hitler
1914,25,"When Adolf Hitler was conscripted into the Austro-Hungarian Army, Adolf Hitler journeyed to Salzburg on 5 February 1914 for medical assessment.",Early years,Early adulthood in Vienna and Munich,Adolf Hitler.csv,Adolf Hitler
1924,35,"According to a 1924 report by the Bavarian authorities, allowing Adolf Hitler to serve was most likely an administrative error, because as an Austrian citizen, Adolf Hitler should have been returned to Austria.",Early years,World War I,Adolf Hitler.csv,Adolf Hitler
1916,27,"During the Battle of the Somme in October 1916, Adolf Hitler was wounded in the left thigh when a shell exploded in the Bavarian Reserve Infantry Regiment 16 (1st Company of the List Regiment)'s dugout.",Early years,World War I,Adolf Hitler.csv,Adolf Hitler
1917,28,"Adolf Hitler spent almost two months recovering in hospital at Beelitz, returning to the Bavarian Reserve Infantry Regiment 16 (1st Company of the List Regiment) on 5 March 1917.",Early years,World War I,Adolf Hitler.csv,Adolf Hitler
1918,29,"Adolf Hitler received the Black Wound Badge on 18 May 1918 and in August 1918, on a recommendation by Lieutenant Hugo Gutmann, Adolf Hitler's Jewish superior, Adolf Hitler received the Iron Cross, First Class, a decoration rarely awarded to one of Adolf Hitler's Gefreiter rank.",Early years,World War I,Adolf Hitler.csv,Adolf Hitler
1918,29,"On 15 October 1918, Adolf Hitler was temporarily blinded in a mustard gas attack and was hospitalised in Pasewalk.",Early years,World War I,Adolf Hitler.csv,Adolf Hitler
1918,29,"Adolf Hitler's wartime experience reinforced Adolf Hitler's German patriotism, and Adolf Hitler was shocked by Germany's's capitulation in November 1918.",Early years,World War I,Adolf Hitler.csv,Adolf Hitler
1919,30,"In July 1919, Adolf Hitler was appointed Verbindungsmann (intelligence agent) of an Aufklärungskommando (reconnaissance unit) of the Reichswehr, assigned to influence other soldiers and to infiltrate the German Workers' Party (DAP).",Entry into politics,,Adolf Hitler.csv,Adolf Hitler
1924,35,"Pardoned by the Bavarian Supreme Court, Adolf Hitler was released from jail on 20 December 1924, against the state prosecutor's objections.",Entry into politics,Beer Hall Putsch and Landsberg Prison,Adolf Hitler.csv,Adolf Hitler
1925,36,"In response, Adolf Hitler formally renounced Adolf Hitler's Austrian citizenship on 7 April 1925.",Entry into politics,Beer Hall Putsch and Landsberg Prison,Adolf Hitler.csv,Adolf Hitler
1933,44,"In a meeting with German military leaders on 3 February 1933, Adolf Hitler spoke of ""conquest for Lebensraum in the East and Lebensraum in the East's ruthless Germanisation"" as Adolf Hitler's ultimate foreign policy objectives.",Nazi Germany,Rearmament and new alliances,Adolf Hitler.csv,Adolf Hitler
1938,49,"From early 1938 onwards, Adolf Hitler was carrying out a foreign policy ultimately aimed at war.",Nazi Germany,Rearmament and new alliances,Adolf Hitler.csv,Adolf Hitler
1938,49,"As a result of a one-day conference in Munich that led to the Munich Agreement, which handed over the Sudetenland districts to Germany, Adolf Hitler was selected Time magazine's Man of the Year for 1938.In late 1938 and early 1939, the continuing economic crisis caused by rearmament forced Adolf Hitler to make major defence cuts.",World War II,Early diplomatic successes,Adolf Hitler.csv,Adolf Hitler
1939,50,"In Adolf Hitler's ""Export or die"" speech of 30 January 1939, Adolf Hitler called for an economic offensive to increase German foreign exchange holdings to pay for raw materials such as high-grade iron needed for military weapons.",World War II,Early diplomatic successes,Adolf Hitler.csv,Adolf Hitler
1939,50,"Adolf Hitler unsuccessfully tried to manoeuvre them into neutrality by offering them a non-aggression guarantee on 25 August 1939; Adolf Hitler then instructed Hitler's foreign minister and former Ambassador to London, Joachim von Ribbentrop, to present a last-minute peace plan with an impossibly short time limit in an effort to blame the imminent war on British and Polish inaction.",World War II,Start of World War II,Adolf Hitler.csv,Adolf Hitler
1938,49,"Adolf Hitler strengthened Adolf Hitler's control of the armed forces in 1938, and subsequently made all major decisions regarding his country's's military strategy.",Leadership style,,Adolf Hitler.csv,Adolf Hitler
1941,52,"Adolf Hitler deepened Adolf Hitler's involvement in World War II by appointing Adolf Hitler commander-in-chief of the Army in December 1941; from this point forward, Adolf Hitler personally directed the war against the Soviet Union, while Adolf Hitler's military commanders facing the Western Allies retained a degree of autonomy.",Leadership style,,Adolf Hitler.csv,Adolf Hitler
1929,40,"Adolf Hitler met his lover, Eva Braun, in 1929, and married his lover, Eva Braun, on 29 April 1945, one day before they both committed suicide.",Personal life,Family,Adolf Hitler.csv,Adolf Hitler
1944,55,"Adolf Hitler suffered ruptured eardrums as a result of the 20 July plot bomb blast in 1944, and 200 wood splinters had to be removed from Adolf Hitler's legs.",Personal life,Health,Adolf Hitler.csv,Adolf Hitler
1931,32,Al Capone was convicted of five counts in 1931.,summary,,Al Capone.csv,Al Capone
1899,0,"Al Capone was born in the Brooklyn borough of New York, New York, on January 17, 1899.",Early life,,Al Capone.csv,Al Capone
1920,21,"Torrio, who was imported by crime boss James ""Big Jim"" Colosimo as an enforcer took over crime boss James ""Big Jim"" Colosimo's criminal empire after crime boss James ""Big Jim"" Colosimo's murder on May 11, 1920, in which Al Capone was suspected of being involved.",Career,Move to Chicago,Al Capone.csv,Al Capone
1929,30,"Al Capone was widely assumed to have been responsible for ordering the 1929 Saint Valentine's Day Massacre, despite being at Al Capone's Florida home at the time of the 1929 Saint Valentine's Day Massacre.",Career,Saint Valentine's Day Massacre,Al Capone.csv,Al Capone
1929,30,"On March 27, 1929, Al Capone was arrested by FBI agents as Al Capone left a Chicago courtroom after testifying to a grand jury that was investigating violations of federal prohibition laws.",Career,Trials,Al Capone.csv,Al Capone
1929,30,"On May 16, 1929, Al Capone was arrested in Philadelphia, Pennsylvania, for carrying a concealed weapon.",Career,Trials,Al Capone.csv,Al Capone
1929,30,"On May 17, 1929, Al Capone was indicted by a grand jury and a trial was held before Philadelphia, Pennsylvania, Municipal Court Judge John E Walsh.",Career,Trials,Al Capone.csv,Al Capone
1929,30,"On August 8, 1929, Al Capone was transferred to Philadelphia, Pennsylvania,'s Eastern State Penitentiary.",Career,Trials,Al Capone.csv,Al Capone
1930,31,"A week after Al Capone's release in March 1930, Al Capone was listed as the number one ""Public Enemy"" on the unofficial Chicago Crime Commission's widely publicized list.",Career,Trials,Al Capone.csv,Al Capone
1930,31,"In April 1930, Al Capone was arrested on vagrancy charges when visiting Miami Beach; the governor had ordered sheriffs to run Al Capone out of Chicago.",Career,Trials,Al Capone.csv,Al Capone
1932,33,"Al Capone was sent to Atlanta U.S. Penitentiary in May 1932, aged 33.",Career,Imprisonment,Al Capone.csv,Al Capone
1936,37,"On June 23, 1936, Al Capone was stabbed and superficially wounded by fellow the recently opened Alcatraz Federal Penitentiary off the coast of San Francisco inmate James C. Lucas.",Career,Imprisonment,Al Capone.csv,Al Capone
1939,40,"Al Capone completed Al Capone's term in the recently opened Alcatraz Federal Penitentiary off the coast of San Francisco on January 6, 1939, and was transferred to the Federal Correctional Institution at Terminal Island in California to serve out Al Capone's sentence for contempt of court.",Career,Imprisonment,Al Capone.csv,Al Capone
1939,40,"Al Capone was paroled on November 16, 1939, after his wife Mae appealed to the court, based on Al Capone's reduced mental capabilities.",Career,Imprisonment,Al Capone.csv,Al Capone
1939,40,"Due to Al Capone's failing health, Al Capone was released from prison on November 16, 1939, and referred to the Johns Hopkins Hospital in Baltimore for the treatment of syphilitic paresis.",Illness and death,,Al Capone.csv,Al Capone
1947,48,"Al Capone suffered a cardiac arrest on January 21, 1947, and on January 25, surrounded by Al Capone's family in his mansion in Palm Island, Florida, died after Al Capone's heart failed as a result of apoplexy. Al Capone's body was transported back to Chicago a week later and a private funeral was held.",Illness and death,,Al Capone.csv,Al Capone
1999,120,"In a 1999 poll of 130 leading physicists worldwide by the British journal Physics World, Albert Einstein was ranked the greatest physicist of all time.",summary,,Albert Einstein.csv,Albert Einstein
1933,54,"In 1933, while Albert Einstein was visiting the United States, Adolf Hitler came to power in Germany.",summary,,Albert Einstein.csv,Albert Einstein
1879,0,"Albert Einstein was born in Ulm, in the Kingdom of Württemberg in the German Empire, on 14 March 1879.",Life and career,"Childhood, youth and education",Albert Einstein.csv,Albert Einstein
1903,24,"A letter of Albert Einstein's that Albert Einstein wrote in September 1903 suggests that a daughter, Lieserl was either given up for adoption or died of scarlet fever in infancy.",Life and career,"Marriages, relationships and children",Albert Einstein.csv,Albert Einstein
1903,24,"His employers were pleased enough with Albert Einstein's work to make Albert Einstein's position permanent in 1903, although His employers did not think that Albert Einstein should be promoted until Albert Einstein had ""fully mastered machine technology"".",Life and career,1902–1909: Assistant at the Swiss Patent Office,Albert Einstein.csv,Albert Einstein
1906,27,(Albert Einstein was formally awarded Albert Einstein's PhD on 15 January 1906.),Life and career,1900–1905: First scientific papers,Albert Einstein.csv,Albert Einstein
1905,26,"Four other pieces of work that Albert Einstein completed in 1905—Albert Einstein's famous papers on the photoelectric effect, Brownian motion, Albert Einstein's special theory of relativity and the equivalence of mass and energy—have led to 1905's being celebrated as an annus mirabilis for physics almost as wonderful as 1666 (the year in which Isaac Newton experienced Isaac Newton's greatest epiphanies).",Life and career,1900–1905: First scientific papers,Albert Einstein.csv,Albert Einstein
1913,34,"Albert Einstein duly joined the Prussian Academy of Sciences on 24July 1913, and moved into an apartment in the Berlin district of Dahlem on 1 April 1914.",Life and career,1908–1933: Early academic career,Albert Einstein.csv,Albert Einstein
1922,43,"In 1922, Albert Einstein was awarded the 1921 Nobel Prize in Physics ""for Albert Einstein's services to Theoretical Physics, and especially for Albert Einstein's discovery of the law of the photoelectric effect"".",Life and career,1908–1933: Early academic career,Albert Einstein.csv,Albert Einstein
1922,43,"1922, Albert Einstein was elected an International Honorary Member of the American Academy of Arts and Sciences.",Life and career,1908–1933: Early academic career,Albert Einstein.csv,Albert Einstein
1921,42,"the California Institute of Technology supported Albert Einstein in Albert Einstein's wish that Albert Einstein should not be exposed to quite as much attention from the media as Albert Einstein had experienced when visiting the United States in 1921, and Albert Einstein therefore declined all the invitations to receive prizes or make speeches that Albert Einstein's admirers poured down upon Albert Einstein.",Life and career,1930–1931: Touring the US,Albert Einstein.csv,Albert Einstein
1933,54,"While at American universities in early 1933, Albert Einstein undertook Albert Einstein's third two-month visiting professorship at the California Institute of Technology in Pasadena.",Life and career,1933: Emigration to the US,Albert Einstein.csv,Albert Einstein
1933,54,"In April 1933, Albert Einstein discovered that Hitler's government had passed laws barring Jews from holding any official positions, including teaching at universities.",Life and career,1933: Emigration to the US,Albert Einstein.csv,Albert Einstein
1933,54,"In late July 1933, Albert Einstein visited England for about six weeks at the invitation of the British Member of Parliament Commander Oliver Locker-Lampson, who had become friends with him in the preceding years.",Life and career,1933: Emigration to the US,Albert Einstein.csv,Albert Einstein
1954,75,"In 1954, a year before Albert Einstein's death, Albert Einstein said to Albert Einstein's old friend, Linus Pauling, ""Albert Einstein made one great mistake in Albert Einstein's life—when Albert Einstein signed a letter, with Szilárd, to President Roosevelt, recommending the US pay attention and engage in its own nuclear weapons research; but there was some justification—the danger that the Germans would make atom bombs ...""",Life and career,1933: Emigration to the US,Albert Einstein.csv,Albert Einstein
1951,72,"As part of Albert Einstein's involvement, Albert Einstein corresponded with civil rights activist W. E. B. Du Bois and was prepared to testify on civil rights activist W. E. B. Du Bois's behalf during civil rights activist W. E. B. Du Bois's trial in 1951.",Life and career,1933: Emigration to the US,Albert Einstein.csv,Albert Einstein
1948,69,The state of Israel was established without Albert Einstein's help in 1948; Albert Einstein was limited to a marginal role in the Zionist movement.,Life and career,Personal views,Albert Einstein.csv,Albert Einstein
1930,51,"In a letter in 1930 to Hermann Huth, vice-president of the German Vegetarian Federation (Deutsche Vegetarier-Bund), Albert Einstein wrote: Although Albert Einstein have been prevented by outward circumstances from observing a strictly vegetarian diet, Albert Einstein have long been an adherent to vegetarianism in principle.",Life and career,Personal views,Albert Einstein.csv,Albert Einstein
2016,137,"Albert Einstein's was confirmed on 11 February 2016, when researchers at LIGO published the first observation of gravitational waves, detected on Earth on 14 September 2015, nearly one hundred years after predicted.",Scientific career,General relativity,Albert Einstein.csv,Albert Einstein
1917,38,"In 1917, at the height of Albert Einstein's work on relativity, Albert Einstein published an article in Physikalische Zeitschrift that proposed the possibility of stimulated emission, the physical process that makes possible the maser and",Scientific career,Old quantum theory,Albert Einstein.csv,Albert Einstein
1905,26,"Albert Einstein played a major role in developing quantum theory, beginning with Albert Einstein's 1905 paper on the photoelectric effect.",Scientific career,Quantum mechanics,Albert Einstein.csv,Albert Einstein
