,0,1,2,3
16,1911," .mw-parser-output .sidebar{width:22em;float:right;clear:right;margin:0.5em 0 1em 1em;background:#f8f9fa;border:1px solid #aaa;padding:0.2em;text-align:center;line-height:1.4em;font-size:88%;border-collapse:collapse;display:table}body.skin-minerva .mw-parser-output .sidebar{display:table!important;float:right!important;margin:0.5em 0 1em 1em!important}.mw-parser-output .sidebar-subgroup{width:100%;margin:0;border-spacing:0}.mw-parser-output .sidebar-left{float:left;clear:left;margin:0.5em 1em 1em 0}.mw-parser-output .sidebar-none{float:none;clear:both;margin:0.5em 1em 1em 0}.mw-parser-output .sidebar-outer-title{padding:0 0.4em 0.2em;font-size:125%;line-height:1.2em;font-weight:bold}.mw-parser-output .sidebar-top-image{padding:0.4em}.mw-parser-output .sidebar-top-caption,.mw-parser-output .sidebar-pretitle-with-top-image,.mw-parser-output .sidebar-caption{padding:0.2em 0.4em 0;line-height:1.2em}.mw-parser-output .sidebar-pretitle{padding:0.4em 0.4em 0;line-height:1.2em}.mw-parser-output .sidebar-title,.mw-parser-output .sidebar-title-with-pretitle{padding:0.2em 0.8em;font-size:145%;line-height:1.2em}.mw-parser-output .sidebar-title-with-pretitle{padding:0.1em 0.4em}.mw-parser-output .sidebar-image{padding:0.2em 0.4em 0.4em}.mw-parser-output .sidebar-heading{padding:0.1em 0.4em}.mw-parser-output .sidebar-content{padding:0 0.5em 0.4em}.mw-parser-output .sidebar-content-with-subgroup{padding:0.1em 0.4em 0.2em}.mw-parser-output .sidebar-above,.mw-parser-output .sidebar-below{padding:0.3em 0.8em;font-weight:bold}.mw-parser-output .sidebar-collapse .sidebar-above,.mw-parser-output .sidebar-collapse .sidebar-below{border-top:1px solid #aaa;border-bottom:1px solid #aaa}.mw-parser-output .sidebar-navbar{text-align:right;font-size:115%;padding:0 0.4em 0.4em}.mw-parser-output .sidebar-list-title{padding:0 0.4em;text-align:left;font-weight:bold;line-height:1.6em;font-size:105%}.mw-parser-output .sidebar-list-title-c{padding:0 0.4em;text-align:center;margin:0 3.3em}@media(max-width:720px){body.mediawiki .mw-parser-output .sidebar{width:100%!important;clear:both;float:none!important;margin-left:0!important;margin-right:0!important}}.mw-parser-output .sidebar-person{border:4px double #d69d36}.mw-parser-output .sidebar-person .sidebar-title{font-size:110%;padding:0;line-height:150%}.mw-parser-output .sidebar-person-title-image{background-color:#002466;vertical-align:middle;padding:5px}.mw-parser-output .sidebar-person-title{background-color:#002466;vertical-align:middle;padding:6px;width:100%}.mw-parser-output .sidebar-person-title>div{font-size:88%;line-height:normal}.mw-parser-output .sidebar-person .sidebar-content{padding:0.3em}.mw-parser-output .sidebar-person .sidebar-navbar{text-align:center}  This article is part of a series aboutWinston Churchill  Liberal Party Conservative Party Electoral history MP for Dundee MP for Epping MP for Woodford  Liberal Government Tonypandy riots Siege of Sidney Street National Insurance Act 1911 Gallipoli campaign Russian Civil War Irish War of Independence Anglo-Irish Treaty Chanak Crisis  Chancellor of the Exchequer 1926 General Strike British Gazette  Prime Minister of the United Kingdom  First Term Cabinet British invasion of Iceland Home Guard Dunkirk We shall fight on the beaches Atlantic Charter Allied invasion of Italy Tehran Conference Operation Overlord D-Day Yalta Conference VE Day Caretaker Government Potsdam Conference 1945 general election  Second Term Cabinet Mau Mau rebellion Malayan Emergency  Books The World Crisis The Second World War A History of the English-Speaking Peoples     vte Sir Winston Leonard Spencer Churchill[a] (30 November 1874 – 24 January 1965) was a British statesman, soldier, and writer who served as Prime Minister of the United Kingdom twice, from 1940 to 1945 during the Second World War, and again from 1951 to 1955.",summary,
17,1922,"Apart from two years between 1922 and 1924, he was a Member of Parliament (MP) from 1900 to 1964 and represented a total of five constituencies.",summary,
18,1940,"Ideologically an adherent to economic liberalism and imperialism, he was for most of his career a member of the Conservative Party, which he led from 1940 to 1955.",summary,
19,1904,He was a member of the Liberal Party from 1904 to 1924.,summary,
20,1895,"He joined the British Army in 1895 and saw action in British India, the Mahdist War (also known as the Anglo-Sudan War), and the Second Boer War, later gaining fame as a war correspondent and writing books about his campaigns.",summary,
21,1900,"Elected a Conservative MP in 1900, he defected to the Liberals in 1904.",summary,
22,1915,He resigned in November 1915 and joined the Royal Scots Fusiliers on the Western Front for six months.,summary,
23,1917,"In 1917, he returned to government under David Lloyd George and served successively as Minister of Munitions, Secretary of State for War, Secretary of State for Air, and Secretary of State for the Colonies, overseeing the Anglo-Irish Treaty and British foreign policy in the Middle East.",summary,
24,1925,"After two years out of Parliament, he served as Chancellor of the Exchequer in Stanley Baldwin's Conservative government, returning the pound sterling in 1925 to the gold standard at its pre-war parity, a move widely seen as creating deflationary pressure and depressing the UK economy.",summary,
25,1940,"In May 1940, he became prime minister, succeeding Neville Chamberlain.",summary,
26,1945,"Churchill formed a national government and oversaw British involvement in the Allied war effort against the Axis powers, resulting in victory in 1945.",summary,
27,1945,"After the Conservatives' defeat in the 1945 general election, he became Leader of the Opposition.",summary,
28,1953,He was awarded the Nobel Prize for Literature in 1953.,summary,
29,1950,He lost the 1950 election but was returned to office in 1951.,summary,
30,1955,"In declining health, Churchill resigned as prime minister in 1955, remaining an MP until 1964.",summary,
31,1965,"Upon his death in 1965, he was given a state funeral.",summary,
32,1889," Jennie Spencer Churchill with her two sons, Jack (left) and Winston (right) in 1889 Churchill was born on 30 November 1874 at his family's ancestral home, Blenheim Palace in Oxfordshire.",Early life,Childhood and schooling: 1874–1895
33,1874,"His father, Lord Randolph Churchill, representing the Conservative Party, had been elected Member of Parliament (MP) for Woodstock in 1874.",Early life,Childhood and schooling: 1874–1895
34,1876,"In 1876, Churchill's paternal grandfather, John Spencer-Churchill, 7th Duke of Marlborough, was appointed Viceroy of Ireland, then part of the United Kingdom.",Early life,Childhood and schooling: 1874–1895
35,1880,"Winston's brother, Jack, was born there in 1880.",Early life,Childhood and schooling: 1874–1895
36,1895,"When she died in 1895, Churchill wrote that ""she had been my dearest and most intimate friend during the whole of the twenty years I had lived"".",Early life,Childhood and schooling: 1874–1895
37,1884,"In 1884, he transferred to Brunswick School in Hove, where his academic performance improved.",Early life,Childhood and schooling: 1874–1895
38,1888,"In April 1888, aged 13, he narrowly passed the entrance exam for Harrow School.",Early life,Childhood and schooling: 1874–1895
39,1893,"He was accepted as a cadet in the cavalry, starting in September 1893.",Early life,Childhood and schooling: 1874–1895
40,1895,"His father died in January 1895, a month after Churchill graduated from Sandhurst.",Early life,Childhood and schooling: 1874–1895
41,1889," Jennie Spencer Churchill with her two sons, Jack (left) and Winston (right) in 1889 Churchill was born on 30 November 1874 at his family's ancestral home, Blenheim Palace in Oxfordshire.",Early life,Childhood and schooling: 1874–1895
42,1874,"His father, Lord Randolph Churchill, representing the Conservative Party, had been elected Member of Parliament (MP) for Woodstock in 1874.",Early life,Childhood and schooling: 1874–1895
43,1876,"In 1876, Churchill's paternal grandfather, John Spencer-Churchill, 7th Duke of Marlborough, was appointed Viceroy of Ireland, then part of the United Kingdom.",Early life,Childhood and schooling: 1874–1895
44,1880,"Winston's brother, Jack, was born there in 1880.",Early life,Childhood and schooling: 1874–1895
45,1895,"When she died in 1895, Churchill wrote that ""she had been my dearest and most intimate friend during the whole of the twenty years I had lived"".",Early life,Childhood and schooling: 1874–1895
46,1884,"In 1884, he transferred to Brunswick School in Hove, where his academic performance improved.",Early life,Childhood and schooling: 1874–1895
47,1888,"In April 1888, aged 13, he narrowly passed the entrance exam for Harrow School.",Early life,Childhood and schooling: 1874–1895
48,1893,"He was accepted as a cadet in the cavalry, starting in September 1893.",Early life,Childhood and schooling: 1874–1895
49,1895,"His father died in January 1895, a month after Churchill graduated from Sandhurst.",Early life,Childhood and schooling: 1874–1895
50,1895," Churchill in the military dress uniform of the 4th Queen's Own Hussars at Aldershot in 1895 In February 1895, Churchill was commissioned as a second lieutenant in the 4th Queen's Own Hussars regiment of the British Army, based at Aldershot.",Early life,"Cuba, India, and Sudan: 1895–1899"
51,1895,"In the autumn of 1895, he and his friend Reggie Barnes, then a subaltern, went to Cuba to observe the war of independence and became involved in skirmishes after joining Spanish troops attempting to suppress independence fighters.",Early life,"Cuba, India, and Sudan: 1895–1899"
52,1896,"With the Hussars, he went to Bombay in October 1896.",Early life,"Cuba, India, and Sudan: 1895–1899"
53,1898,"In one 1898 letter to her, he referred to his religious beliefs, saying: ""I do not accept the Christian or any other form of religious belief"".",Early life,"Cuba, India, and Sudan: 1895–1899"
54,1897,"He returned to Bangalore in October 1897 and there wrote his first book, The Story of the Malakand Field Force, which received positive reviews.",Early life,"Cuba, India, and Sudan: 1895–1899"
55,1898,"After fighting in the Battle of Omdurman on 2 September 1898, the 21st Lancers were stood down.",Early life,"Cuba, India, and Sudan: 1895–1899"
56,1899,"In October, Churchill returned to England and began writing The River War, an account of the campaign which was published in November 1899; it was at this time that he decided to leave the army.",Early life,"Cuba, India, and Sudan: 1895–1899"
57,1898,"On 2 December 1898, Churchill embarked for India to settle his military business and complete his resignation from the 4th Hussars.",Early life,"Cuba, India, and Sudan: 1895–1899"
58,1899,"Having left the Hussars, he sailed from Bombay on 20 March 1899, determined to launch a career in politics.",Early life,"Cuba, India, and Sudan: 1895–1899"
59,1895," Churchill in the military dress uniform of the 4th Queen's Own Hussars at Aldershot in 1895 In February 1895, Churchill was commissioned as a second lieutenant in the 4th Queen's Own Hussars regiment of the British Army, based at Aldershot.",Early life,"Cuba, India, and Sudan: 1895–1899"
60,1895,"In the autumn of 1895, he and his friend Reggie Barnes, then a subaltern, went to Cuba to observe the war of independence and became involved in skirmishes after joining Spanish troops attempting to suppress independence fighters.",Early life,"Cuba, India, and Sudan: 1895–1899"
61,1896,"With the Hussars, he went to Bombay in October 1896.",Early life,"Cuba, India, and Sudan: 1895–1899"
62,1898,"In one 1898 letter to her, he referred to his religious beliefs, saying: ""I do not accept the Christian or any other form of religious belief"".",Early life,"Cuba, India, and Sudan: 1895–1899"
63,1897,"He returned to Bangalore in October 1897 and there wrote his first book, The Story of the Malakand Field Force, which received positive reviews.",Early life,"Cuba, India, and Sudan: 1895–1899"
64,1898,"After fighting in the Battle of Omdurman on 2 September 1898, the 21st Lancers were stood down.",Early life,"Cuba, India, and Sudan: 1895–1899"
65,1899,"In October, Churchill returned to England and began writing The River War, an account of the campaign which was published in November 1899; it was at this time that he decided to leave the army.",Early life,"Cuba, India, and Sudan: 1895–1899"
66,1898,"On 2 December 1898, Churchill embarked for India to settle his military business and complete his resignation from the 4th Hussars.",Early life,"Cuba, India, and Sudan: 1895–1899"
67,1899,"Having left the Hussars, he sailed from Bombay on 20 March 1899, determined to launch a career in politics.",Early life,"Cuba, India, and Sudan: 1895–1899"
68,1900," Churchill in 1900 around the time of his first election to Parliament Seeking a parliamentary career, Churchill spoke at Conservative meetings and was selected as one of the party's two parliamentary candidates for the June 1899 by-election in Oldham, Lancashire.",Early life,Politics and South Africa: 1899–1901
69,1900,"In January 1900, he briefly rejoined the army as a lieutenant in the South African Light Horse regiment, joining Redvers Buller's fight to relieve the Siege of Ladysmith and take Pretoria.",Early life,Politics and South Africa: 1899–1901
70,1900,"He stood again as one of the Conservative candidates at Oldham in the October 1900 general election, securing a narrow victory to become a Member of Parliament at age 25.",Early life,Politics and South Africa: 1899–1901
71,1901,"Later, in spring 1901, he gave more lectures in Paris, Madrid and Gibraltar.",Early life,Politics and South Africa: 1899–1901
72,1900," Churchill in 1900 around the time of his first election to Parliament Seeking a parliamentary career, Churchill spoke at Conservative meetings and was selected as one of the party's two parliamentary candidates for the June 1899 by-election in Oldham, Lancashire.",Early life,Politics and South Africa: 1899–1901
73,1900,"In January 1900, he briefly rejoined the army as a lieutenant in the South African Light Horse regiment, joining Redvers Buller's fight to relieve the Siege of Ladysmith and take Pretoria.",Early life,Politics and South Africa: 1899–1901
74,1900,"He stood again as one of the Conservative candidates at Oldham in the October 1900 general election, securing a narrow victory to become a Member of Parliament at age 25.",Early life,Politics and South Africa: 1899–1901
75,1901,"Later, in spring 1901, he gave more lectures in Paris, Madrid and Gibraltar.",Early life,Politics and South Africa: 1899–1901
76,1904," Churchill in 1904 when he ""crossed the floor"" In February 1901, Churchill took his seat in the House of Commons, where his maiden speech gained widespread press coverage.",Early life,Conservative MP: 1901–1904
77,1903,"By 1903, there was real division between Churchill and the Conservatives, largely because he opposed their promotion of economic protectionism.",Early life,Conservative MP: 1901–1904
78,1904,"The Liberal Party was then attracting growing support, and so his defection in 1904 may also have been influenced by personal ambition.",Early life,Conservative MP: 1901–1904
79,1903,Arthur Balfour's government announced protectionist legislation in October 1903.,Early life,Conservative MP: 1901–1904
80,1904,"In May 1904, Churchill opposed the government's proposed Aliens Bill, designed to curb Jewish migration into Britain.",Early life,Conservative MP: 1901–1904
81,1904,"On 31 May 1904, he crossed the floor, defecting from the Conservatives to sit as a member of the Liberal Party in the House of Commons.",Early life,Conservative MP: 1901–1904
82,1904," Churchill in 1904 when he ""crossed the floor"" In February 1901, Churchill took his seat in the House of Commons, where his maiden speech gained widespread press coverage.",Early life,Conservative MP: 1901–1904
83,1903,"By 1903, there was real division between Churchill and the Conservatives, largely because he opposed their promotion of economic protectionism.",Early life,Conservative MP: 1901–1904
84,1904,"The Liberal Party was then attracting growing support, and so his defection in 1904 may also have been influenced by personal ambition.",Early life,Conservative MP: 1901–1904
85,1903,Arthur Balfour's government announced protectionist legislation in October 1903.,Early life,Conservative MP: 1901–1904
86,1904,"In May 1904, Churchill opposed the government's proposed Aliens Bill, designed to curb Jewish migration into Britain.",Early life,Conservative MP: 1901–1904
87,1904,"On 31 May 1904, he crossed the floor, defecting from the Conservatives to sit as a member of the Liberal Party in the House of Commons.",Early life,Conservative MP: 1901–1904
88,1904," Main article: Winston Churchill's Liberal Party years, 1904–1924 Churchill and German Kaiser Wilhelm II during a military manoeuvre near Breslau, Silesia, in 1906 As a Liberal, Churchill attacked government policy and gained a reputation as a radical under the influences of John Morley and David Lloyd George.",Liberal MP: 1904–1908,
89,1905,"In December 1905, Balfour resigned as Prime Minister and King Edward VII invited the Liberal leader Henry Campbell-Bannerman to take his place.",Liberal MP: 1904–1908,
90,1906,"Hoping to secure a working majority in the House of Commons, Campbell-Bannerman called a general election in January 1906, which the Liberals won.",Liberal MP: 1904–1908,
91,1904," Main article: Winston Churchill's Liberal Party years, 1904–1924 Churchill and German Kaiser Wilhelm II during a military manoeuvre near Breslau, Silesia, in 1906 As a Liberal, Churchill attacked government policy and gained a reputation as a radical under the influences of John Morley and David Lloyd George.",Liberal MP: 1904–1908,
92,1905,"In December 1905, Balfour resigned as Prime Minister and King Edward VII invited the Liberal leader Henry Campbell-Bannerman to take his place.",Liberal MP: 1904–1908,
93,1906,"Hoping to secure a working majority in the House of Commons, Campbell-Bannerman called a general election in January 1906, which the Liberals won.",Liberal MP: 1904–1908,
94,1904," Main article: Winston Churchill's Liberal Party years, 1904–1924",Asquith government: 1908–1915,
95,1904," Main article: Winston Churchill's Liberal Party years, 1904–1924",Asquith government: 1908–1915,
96,1908," Churchill and his fiancée Clementine Hozier shortly before their marriage in 1908 Asquith succeeded the terminally ill Campbell-Bannerman on 8 April 1908 and, four days later, Churchill was appointed President of the Board of Trade, succeeding Lloyd George who became Chancellor of the Exchequer.",Asquith government: 1908–1915,President of the Board of Trade: 1908–1910
97,1866,"Aged 33, Churchill was the youngest Cabinet member since 1866.",Asquith government: 1908–1915,President of the Board of Trade: 1908–1910
98,1908,"In private life, Churchill proposed marriage to Clementine Hozier; they were married on 12 September 1908 at St Margaret's, Westminster and honeymooned in Baveno, Venice, and Veveří Castle in Moravia.",Asquith government: 1908–1915,President of the Board of Trade: 1908–1910
99,1909,"They lived at 33 Eccleston Square, London, and their first daughter, Diana, was born in July 1909.",Asquith government: 1908–1915,President of the Board of Trade: 1908–1910
100,1909,"In 1909, he introduced the Trade Boards Bill, creating Trade Boards which could prosecute exploitative employers.",Asquith government: 1908–1915,President of the Board of Trade: 1908–1910
101,1909,"In May 1909, he proposed the Labour Exchanges Bill to establish over 200 Labour Exchanges through which the unemployed would be assisted in finding employment.",Asquith government: 1908–1915,President of the Board of Trade: 1908–1910
102,1909,"As Chancellor, Lloyd George presented his ""People's Budget"" on 29 April 1909, calling it a war budget to eliminate poverty.",Asquith government: 1908–1915,President of the Board of Trade: 1908–1910
103,1910,"The government called the January 1910 general election, which resulted in a narrow Liberal victory; Churchill retained his seat at Dundee.",Asquith government: 1908–1915,President of the Board of Trade: 1908–1910
104,1911,Churchill continued to campaign against the House of Lords and assisted passage of the Parliament Act 1911 which reduced and restricted its powers.,Asquith government: 1908–1915,President of the Board of Trade: 1908–1910
105,1908," Churchill and his fiancée Clementine Hozier shortly before their marriage in 1908 Asquith succeeded the terminally ill Campbell-Bannerman on 8 April 1908 and, four days later, Churchill was appointed President of the Board of Trade, succeeding Lloyd George who became Chancellor of the Exchequer.",Asquith government: 1908–1915,President of the Board of Trade: 1908–1910
106,1866,"Aged 33, Churchill was the youngest Cabinet member since 1866.",Asquith government: 1908–1915,President of the Board of Trade: 1908–1910
107,1908,"In private life, Churchill proposed marriage to Clementine Hozier; they were married on 12 September 1908 at St Margaret's, Westminster and honeymooned in Baveno, Venice, and Veveří Castle in Moravia.",Asquith government: 1908–1915,President of the Board of Trade: 1908–1910
108,1909,"They lived at 33 Eccleston Square, London, and their first daughter, Diana, was born in July 1909.",Asquith government: 1908–1915,President of the Board of Trade: 1908–1910
109,1909,"In 1909, he introduced the Trade Boards Bill, creating Trade Boards which could prosecute exploitative employers.",Asquith government: 1908–1915,President of the Board of Trade: 1908–1910
110,1909,"In May 1909, he proposed the Labour Exchanges Bill to establish over 200 Labour Exchanges through which the unemployed would be assisted in finding employment.",Asquith government: 1908–1915,President of the Board of Trade: 1908–1910
111,1909,"As Chancellor, Lloyd George presented his ""People's Budget"" on 29 April 1909, calling it a war budget to eliminate poverty.",Asquith government: 1908–1915,President of the Board of Trade: 1908–1910
112,1910,"The government called the January 1910 general election, which resulted in a narrow Liberal victory; Churchill retained his seat at Dundee.",Asquith government: 1908–1915,President of the Board of Trade: 1908–1910
113,1911,Churchill continued to campaign against the House of Lords and assisted passage of the Parliament Act 1911 which reduced and restricted its powers.,Asquith government: 1908–1915,President of the Board of Trade: 1908–1910
114,1910," In February 1910, Churchill was promoted to Home Secretary, giving him control over the police and prison services; he implemented a prison reform programme.",Asquith government: 1908–1915,Home Secretary: 1910–1911
115,1918,"His proposed solution was a referendum on the issue, but this found no favour with Asquith and women's suffrage remained unresolved until 1918.",Asquith government: 1908–1915,Home Secretary: 1910–1911
116,1910,"In November 1910, the suffragist Hugh Franklin attacked Churchill with a whip; Franklin was arrested and imprisoned for six weeks.",Asquith government: 1908–1915,Home Secretary: 1910–1911
117,1910,"Churchill (second left) photographed at the Siege of Sidney Street In November 1910, Churchill had to deal with the Tonypandy riots, in which coal miners in the Rhondda Valley violently protested against their working conditions.",Asquith government: 1908–1915,Home Secretary: 1910–1911
118,1910,Asquith called a general election in December 1910 and the Liberals were re-elected with Churchill secure in Dundee.,Asquith government: 1908–1915,Home Secretary: 1910–1911
119,1911,"In January 1911, Churchill became involved in the Siege of Sidney Street; three Latvian burglars had killed several police officers and hidden in a house in the East End of London, which was surrounded by police.",Asquith government: 1908–1915,Home Secretary: 1910–1911
120,1911,"In March 1911, Churchill introduced the second reading of the Coal Mines Bill in parliament.",Asquith government: 1908–1915,Home Secretary: 1910–1911
121,1911,"In April, Lloyd George introduced the first health and unemployment insurance legislation, the National Insurance Act 1911, which Churchill had been instrumental in drafting.",Asquith government: 1908–1915,Home Secretary: 1910–1911
122,1911,"In response to escalating civil strife in 1911, Churchill sent troops into Liverpool to quell protesting dockers and rallied against a national railway strike.",Asquith government: 1908–1915,Home Secretary: 1910–1911
123,1911,"During the Agadir Crisis of April 1911, when there was a threat of war between France and Germany, Churchill suggested an alliance with France and Russia to safeguard the independence of Belgium, Denmark and the Netherlands to counter possible German expansionism.",Asquith government: 1908–1915,Home Secretary: 1910–1911
124,1910," In February 1910, Churchill was promoted to Home Secretary, giving him control over the police and prison services; he implemented a prison reform programme.",Asquith government: 1908–1915,Home Secretary: 1910–1911
125,1918,"His proposed solution was a referendum on the issue, but this found no favour with Asquith and women's suffrage remained unresolved until 1918.",Asquith government: 1908–1915,Home Secretary: 1910–1911
126,1910,"In November 1910, the suffragist Hugh Franklin attacked Churchill with a whip; Franklin was arrested and imprisoned for six weeks.",Asquith government: 1908–1915,Home Secretary: 1910–1911
127,1910,"Churchill (second left) photographed at the Siege of Sidney Street In November 1910, Churchill had to deal with the Tonypandy riots, in which coal miners in the Rhondda Valley violently protested against their working conditions.",Asquith government: 1908–1915,Home Secretary: 1910–1911
128,1910,Asquith called a general election in December 1910 and the Liberals were re-elected with Churchill secure in Dundee.,Asquith government: 1908–1915,Home Secretary: 1910–1911
129,1911,"In January 1911, Churchill became involved in the Siege of Sidney Street; three Latvian burglars had killed several police officers and hidden in a house in the East End of London, which was surrounded by police.",Asquith government: 1908–1915,Home Secretary: 1910–1911
130,1911,"In March 1911, Churchill introduced the second reading of the Coal Mines Bill in parliament.",Asquith government: 1908–1915,Home Secretary: 1910–1911
131,1911,"In April, Lloyd George introduced the first health and unemployment insurance legislation, the National Insurance Act 1911, which Churchill had been instrumental in drafting.",Asquith government: 1908–1915,Home Secretary: 1910–1911
132,1911,"In response to escalating civil strife in 1911, Churchill sent troops into Liverpool to quell protesting dockers and rallied against a national railway strike.",Asquith government: 1908–1915,Home Secretary: 1910–1911
133,1911,"During the Agadir Crisis of April 1911, when there was a threat of war between France and Germany, Churchill suggested an alliance with France and Russia to safeguard the independence of Belgium, Denmark and the Netherlands to counter possible German expansionism.",Asquith government: 1908–1915,Home Secretary: 1910–1911
134,1911,"In October 1911, Asquith appointed Churchill First Lord of the Admiralty, and he took up official residence at Admiralty House.",Asquith government: 1908–1915,First Lord of the Admiralty
135,1912,"After the German government passed its 1912 Naval Law to increase warship production, Churchill vowed that Britain would do the same and that for every new battleship built by the Germans, Britain would build two.",Asquith government: 1908–1915,First Lord of the Admiralty
136,1913,Some Liberals objected to his levels of naval expenditure; in December 1913 he threatened to resign if his proposal for four new battleships in 1914–15 was rejected.,Asquith government: 1908–1915,First Lord of the Admiralty
137,1914,"In June 1914, he convinced the House of Commons to authorise the government purchase of a 51 percent share in the profits of oil produced by the Anglo-Persian Oil Company, to secure continued oil access for the Royal Navy.",Asquith government: 1908–1915,First Lord of the Admiralty
138,1912,"The central issue in Britain at the time was Irish Home Rule and, in 1912, Asquith's government introduced the Home Rule Bill.",Asquith government: 1908–1915,First Lord of the Admiralty
